material_id,Name,Coeff_A,unscaled_Coeff_A
mp-3316,BaCeO3,0.1663250250751247,8.5362279958272e-08
mp-3187,BaCeO3,0.18642181946623282,8.591967455088517e-08
mp-5663,BaCeO3,0.26015813656583475,8.796478799687406e-08
mp-1080782,BaClO3,-0.23586591573312887,7.420731408452461e-08
mp-1182237,BaClO3,-0.18383242696306468,7.56504887874546e-08
mp-1182337,BaClO3,-0.2063536339087335,7.502585190625167e-08
mp-2626703,BaCO3,-0.8295245952627255,5.7741895202890045e-08
mp-675324,BaCO3,-0.7880088788361093,5.889335425622527e-08
mp-674478,BaCO3,-0.7342109680611912,6.038546608143723e-08
mp-762225,BaCO3,-0.7852471941431531,5.8969950955400214e-08
mp-1227982,BaCO3,-0.9855360253050947,5.341484055929265e-08
mp-4559,BaCO3,-1.002391441970758,5.2947347190805996e-08
mp-5504,BaCO3,-0.6844262467690925,6.176627009937793e-08
mp-676020,BaCO3,-0.788425895194095,5.8881788100028976e-08
mp-2506699,BaCO3,-0.7880325539209139,5.8892697615967484e-08
mp-34195,BaCO3,-0.8248039128664999,5.787282567816348e-08
mp-545643,BaCO3,-0.8447357392950465,5.7320006554080086e-08
mp-18965,BaCoO3,-0.4828761489446549,6.735636235397679e-08
mp-1283250,BaCoO3,-0.4266854647397622,6.891483894091445e-08
mp-1076782,BaCoO3,-0.4160508284783617,6.920979586942518e-08
mp-557081,BaCrO3,-0.490035672946064,6.715778939321469e-08
mp-540926,BaCrO3,-0.4248176031033353,6.896664501284972e-08
mp-19271,BaCrO3,-0.4858453574689747,6.727400987807501e-08
mp-1076800,BaCuO3,-0.5240401598535129,6.621465802818545e-08
mp-1183286,BaDyO3,0.1790593508994789,8.571547282161791e-08
mp-1183291,BaErO3,0.10022895447674784,8.35290725507854e-08
mp-1183310,BaEuO3,0.30841573019696966,8.930323636923838e-08
mp-19035,BaFeO3,-0.42206104911416276,6.904309940940218e-08
mp-705845,BaFeO3,-0.32963200881677324,7.160666483479091e-08
mp-1192651,BaFeO3,-0.3733471835268176,7.039420271151316e-08
mp-676865,BaGeO3,-0.3337101603066088,7.149355527392993e-08
mp-1016823,BaGeO3,-0.3870305177685651,7.001468862748376e-08
mp-13863,BaGeO3,-0.319985312701661,7.187422075174477e-08
mp-1195469,BaGeS3,0.5322879984425981,9.551244512799309e-08
mp-998552,BaHfO3,-0.2993373831894104,7.244690135118798e-08
mp-1383356,BaHfS3,0.6144153936753725,9.779028930141053e-08
mp-998419,BaHfS3,0.5887829187964257,9.707935985590953e-08
mp-998361,BaHfS3,0.4661900590894277,9.36791858896624e-08
mp-998352,BaHfS3,0.6090645697450867,9.764188153713116e-08
mp-1105549,BaHfS3,0.5629725176440985,9.636349553668011e-08
mp-1183288,BaInO3,0.17321280031363528,8.555331583187278e-08
mp-1227991,BaInO3,0.05568927157571579,8.229374228255489e-08
mp-5660,BaIrO3,-0.3472990594280816,7.11166603949523e-08
mp-542897,BaIrO3,-0.27703222009724016,7.306554614861058e-08
mp-4307,BaIrO3,-0.2730111843546581,7.317707157580066e-08
mp-10250,BaLiF3,0.27323076200414675,8.832736376835116e-08
mp-23818,BaLiH3,7.948858589611435e-07,8.074919467094548e-08
mp-632808,BaLiH3,7.981937230771186e-07,8.074919476269073e-08
mp-1183284,BaLiO3,-0.42601836395616033,6.893334131309737e-08
mp-1016852,BaMnO3,-0.4169675192336797,6.918437099518062e-08
mp-19156,BaMnO3,-0.4640249758714532,6.7879209019516e-08
mp-19267,BaMnO3,-0.21482161899585606,7.479098812618634e-08
mp-18840,BaMnO3,-0.41724755755861054,6.917660399289144e-08
mp-557535,BaMnO3,-0.46148574219132854,6.794963592915832e-08
mp-675227,BaMnO3,-0.46568599782166586,6.783313974920143e-08
mp-35078,BaMnO3,-0.45937302617872433,6.800823315905653e-08
mp-1205336,BaMnO3,-0.47111429507985747,6.768258322362183e-08
mp-757501,BaMnO3,-0.4789758526248278,6.746453901319677e-08
mp-19322,BaMoO3,-0.4450534795882959,6.840539290915622e-08
mp-3020,BaNbO3,-0.39914226202762393,6.967876337364824e-08
mp-35143,BaNbS3,0.49057827507589025,9.435560519563646e-08
mp-754307,BaNdO3,0.230742193887707,8.714892218930714e-08
