material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,density_MP
mp-1183176,AlNiO3,Al,Ni,O,Pm-3m,0.869599869977272,-26.61162424,4.53534977771523
mp-1183154,AlPbO3,Al,Pb,O,Pm-3m,0.256270870590908,-31.1949079,8.31104133801127
mp-776116,AlPdO3,Al,Pd,O,C2/c,0.193575573272732,-31.3650574425,5.24105683237379
mp-1178574,AlPdO3,Al,Pd,O,P6_3/mmc,0.154439158272734,-31.562141975,5.65528578547617
mp-1178547,AlRhO3,Al,Rh,O,P6_3/mmc,0.0432350841363585,-34.994018285,5.77915186157785
mp-1371447,AlSbO3,Al,Sb,O,Pnma,0.339868097500005,-31.9038408725,5.03988384706921
mp-1374707,AlSbO3,Al,Sb,O,P6_3cm,0.406103865000004,-31.572662035,5.35563792953424
mp-1261047,AlSbO3,Al,Sb,O,P2_1,0.061852403500005,-33.2873070975,4.02379023960873
mp-1183134,AlSbO3,Al,Sb,O,Pm-3m,0.319599526000005,-32.00448998,6.17550721143649
mp-1384267,AlSbO3,Al,Sb,O,P6_3/mmc,0.802027764000004,-29.59304254,4.80311731947172
mp-1421511,AlSbO3,Al,Sb,O,Pm-3m,1.318511898,-27.01062187,4.91147182816696
mp-1079481,AlSBr3,Al,S,Br,P-3m1,0.361060012875001,-14.95357331,2.6114852031493
mp-1183132,AlSiO3,Al,Si,O,Pm-3m,1.03579189274999,-32.72642209,3.79638832591093
mp-1406914,AlSnO3,Al,Sn,O,P6_3/mmc,0.658372996125003,-30.60647306,5.0562497047465
mp-1248301,AlSnO3,Al,Sn,O,P6_3cm,0.429956209458337,-31.7466173533333,5.42160168191102
mp-1340379,AlSnO3,Al,Sn,O,P2_1/c,0.235436242125004,-32.72108913,5.02742868072243
mp-1426094,AlSnO3,Al,Sn,O,Pm-3m,1.318630856125,-27.30519452,4.89013113404812
mp-768539,AlTlO3,Al,Tl,O,Pnma,0.0889291161363639,-29.8403251675,8.65945853900118
mp-765647,AlVO3,Al,V,O,Cm,0.0887325961250003,-40.404064655,4.01397910208228
mp-1395974,AlVO3,Al,V,O,Pm-3m,1.228573627625,-32.67224353,3.74232054572579
mp-1248251,AlVO3,Al,V,O,Pnma,0.151617486125,-38.024234825,4.1898472774668
mp-1178549,AlVO3,Al,V,O,R-3,0.0198158706250009,-38.65030092,4.29109098840547
mp-802021,AlVO3,Al,V,O,P1,2.083372569625,-28.39824882,3.88327310152887
mp-1183128,AlVO3,Al,V,O,Pm-3m,0.709336499625001,-35.22829334,4.33377992712299
mp-1384488,AlVO3,Al,V,O,P6_3/mmc,0.327603013625001,-36.22350651,3.96596744078582
mp-756082,AlVO3,Al,V,O,Pnma,0.0864430801250009,-40.123211215,4.58359959937823
mp-1246403,AlWN3,Al,W,N,P-1,0.320594918999999,-43.8138759825,4.97785320591037
mp-1417649,AlWO3,Al,W,O,Pm-3m,1.17843927125,-32.30526818,6.53933783109774
mp-1400236,AlWO3,Al,W,O,P6_3/mmc,0.736896008249996,-34.512986235,7.15887361222385
mp-1251647,AlWO3,Al,W,O,P6_3cm,0.548133606583329,-35.458299325,7.90580201471594
mp-1046804,AlWO3,Al,W,O,Pnma,0.285851663249996,-36.767157015,6.8419396199401
mp-755240,AsAuO3,As,Au,O,C2/c,0.117542796166668,-26.0721891925,6.17325327621264
mp-27274,AsCF3,As,C,F,P4_2/nmc,0.49251551625,-25.652085745,2.56775650807442
mp-1183283,BaAlO3,Ba,Al,O,Pm-3m,0.16936120075,-32.92458761,5.69066597279541
mp-1183287,BaAuO3,Ba,Au,O,Pm-3m,0.198319594999998,-25.21885709,8.4972478325448
mp-1183282,BaBeO3,Ba,Be,O,Pm-3m,0.517310855,-28.56285063,5.46499281752327
mp-545783,BaBiO3,Ba,Bi,O,Pm-3m,0.0212110020000003,-29.636891965,7.5409484397547
mp-644369,BaBiO3,Ba,Bi,O,P1,0.946954908,-26.327681445,6.74252943574575
mp-1227955,BaBiO3,Ba,Bi,O,R32,0.022849194,-29.62019461,7.49841088053666
mp-23438,BaBiO3,Ba,Bi,O,Fm-3m,0.024886167,-29.635204905,7.54500266341285
mp-559051,BaBiO3,Ba,Bi,O,P2_1/c,0,-29.7589309625,7.5826937644321
