Name,Temp,FE
KSbO3,1000.0,-117.56276675
TiPbO3,0.0,26.3844763
TiPbO3,10.0,26.3841175
TiPbO3,20.0,26.3739175
TiPbO3,30.0,26.3319654
TiPbO3,40.0,26.2457214
TiPbO3,50.0,26.110714
TiPbO3,60.0,25.9250696
TiPbO3,70.0,25.6878072
TiPbO3,80.0,25.3984025
TiPbO3,90.0,25.0566572
TiPbO3,100.0,24.6626446
TiPbO3,110.0,24.2166696
TiPbO3,120.0,23.7192317
TiPbO3,130.0,23.1709881
TiPbO3,140.0,22.5727189
TiPbO3,150.0,21.9252966
TiPbO3,160.0,21.2296592
TiPbO3,170.0,20.4867887
TiPbO3,180.0,19.6976936
TiPbO3,190.0,18.8633948
TiPbO3,200.0,17.9849148
TiPbO3,210.0,17.0632695
TiPbO3,220.0,16.0994618
TiPbO3,230.0,15.0944769
TiPbO3,240.0,14.0492791
TiPbO3,250.0,12.964809
TiPbO3,260.0,11.8419821
TiPbO3,270.0,10.681688
TiPbO3,280.0,9.4847894
TiPbO3,290.0,8.2521222
TiPbO3,300.0,6.9844954
TiPbO3,310.0,5.6826916
TiPbO3,320.0,4.3474674
TiPbO3,330.0,2.9795538
TiPbO3,340.0,1.5796571
TiPbO3,350.0,0.1484597
TiPbO3,360.0,-1.3133796
TiPbO3,370.0,-2.8052243
TiPbO3,380.0,-4.3264597
TiPbO3,390.0,-5.8764919
TiPbO3,400.0,-7.4547472
TiPbO3,410.0,-9.0606713
TiPbO3,420.0,-10.6937283
TiPbO3,430.0,-12.3534004
TiPbO3,440.0,-14.0391866
TiPbO3,450.0,-15.7506025
TiPbO3,460.0,-17.4871795
TiPbO3,470.0,-19.248464
TiPbO3,480.0,-21.034017
TiPbO3,490.0,-22.8434131
TiPbO3,500.0,-24.6762407
TiPbO3,510.0,-26.5321005
TiPbO3,520.0,-28.4106057
TiPbO3,530.0,-30.3113814
TiPbO3,540.0,-32.2340635
TiPbO3,550.0,-34.1782993
TiPbO3,560.0,-36.143746
TiPbO3,570.0,-38.1300712
TiPbO3,580.0,-40.1369518
TiPbO3,590.0,-42.164074
TiPbO3,600.0,-44.2111329
TiPbO3,610.0,-46.277832
