Name,A_site,B_site,X_site,Spacegroup,Ehull,BulkModulus,Energy,ZPE,s_A,s_B,s_X,density,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,E_coh,TF,OF,A_Z,B_Z,X_Z,A_M,B_M,X_M,A_G,B_G,X_G,A_IEI,B_IEI,X_IEI,A_IEII,B_IEII,X_IEII,A_EA,B_EA,X_EA,A_ChiP,B_ChiP,X_ChiP,A_ChiA,B_ChiA,X_ChiA,A_Rvdw,B_Rvdw,X_Rvdw,A_Rc,B_Rc,X_Rc,A_Ra,B_Ra,X_Ra,A_MP,B_MP,X_MP,A_BP,B_BP,X_BP,A_Rho,B_Rho,X_Rho,A_MV,B_MV,X_MV,A_Hf,B_Hf,X_Hf,A_Hv,B_Hv,X_Hv,A_Kappa,B_Kappa,X_Kappa,A_CvM,B_CvM,X_CvM,A_B,B_B,X_B,A_MendeleevNo,B_MendeleevNo,X_MendeleevNo
CsCdCl3,Cs,Cd,Cl,Pm-3m,0.007,35.0,-14.50250323,8.5345507,1.88,1.31,1.81,3.852294397590688,4.617651919838872,3.7702970044627895,2.6660025789429653,3.7702970044627895,0.0,0.0,0.0,0.0,-13.880686800000001,0.8362897508263974,0.7237569060773481,55.0,48.0,17.0,132.9054519,112.411,35.453,1.0,12.0,17.0,3.893905,8.99382,12.96763,23.15744,16.90831,23.8136,45.5,0.0,349.0,0.79,1.69,3.16,0.659,1.52,2.869,3.43,2.18,1.75,244.0,144.0,102.0,2.6,1.55,1.0,301.59,594.22,171.6,944.0,1040.0,239.11,1879.0,8650.0,,70.94,13.0,17.39,2.09,6.21,3.2,65.0,100.0,10.2,36.0,97.0,0.0089,0.242,0.231,0.479,1.0,3.0,2.0,8.0,75.0,99.0
CsCdF3,Cs,Cd,F,Pm-3m,0.0,30.0,-19.72050076,14.0750994,1.88,1.31,1.285,5.284169507989479,3.951600672636378,3.2264684383993054,2.281457712076519,3.2264684383993054,0.0,0.0,0.0,0.0,-19.11520431,0.8624250337015117,1.019455252918288,55.0,48.0,9.0,132.9054519,112.411,18.9984032,1.0,12.0,17.0,3.893905,8.99382,17.4228,23.15744,16.90831,34.9708,45.5,0.0,328.0,0.79,1.69,3.98,0.659,1.52,4.193,3.43,2.18,1.47,244.0,144.0,57.0,2.6,1.55,0.5,301.59,594.22,53.53,944.0,1040.0,85.03,1879.0,8650.0,,70.94,13.0,11.2,2.09,6.21,0.255,65.0,100.0,3.27,36.0,97.0,0.0277,0.242,0.231,0.824,1.0,3.0,2.0,8.0,75.0,102.0
CsGeCl3,Cs,Ge,Cl,R3m,0.0,26.89,-17.6725205466667,8.93198143333333,1.88,0.73,1.81,3.0715386795950446,4.741574616084046,3.926612321322098,2.76809720615324,3.819309305199508,0.052307413091896175,0.048775770708391925,0.3533802251714047,0.18967454258604538,-16.9125171766667,1.0272535521962047,0.4033149171270718,55.0,32.0,17.0,132.9054519,72.64,35.453,1.0,14.0,17.0,3.893905,7.89943,12.96763,23.15744,15.93461,23.8136,45.5,119.0,349.0,0.79,2.01,3.16,0.659,1.994,2.869,3.43,2.11,1.75,244.0,120.0,102.0,2.6,1.25,1.0,301.59,1211.4,171.6,944.0,3093.0,239.11,1879.0,5323.0,,70.94,13.63,17.39,2.09,36.94,3.2,65.0,334.0,10.2,36.0,60.0,0.0089,0.242,0.32,0.479,1.0,2.0,2.0,8.0,84.0,99.0
CsIO3,Cs,I,O,Pmn21,0.0,44.22,-22.07845,22.5,1.88,0.95,1.35,4.660253080268665,4.033309574815747,3.3683444391900275,2.29562853858838,3.4525092470550085,0.018534899514685454,0.06809787742526575,0.5662963260789745,0.732340487260683,-21.228438999999998,0.9930238709706734,0.7037037037037036,55.0,53.0,8.0,132.9054519,126.90447,15.9994,1.0,17.0,16.0,3.893905,10.45126,13.61805,23.15744,19.1313,35.1211,45.5,295.2,141.0,0.79,2.66,3.44,0.659,2.359,3.61,3.43,1.98,1.52,244.0,139.0,66.0,2.6,1.4,0.6,301.59,386.85,54.8,944.0,457.4,90.2,1879.0,4940.0,,70.94,25.72,17.36,2.09,7.76,0.22,65.0,20.9,3.41,36.0,0.449,0.02658,0.242,0.214,0.918,1.0,2.0,2.0,8.0,97.0,101.0
CsMgBr3,Cs,Mg,Br,P63/mmc ,0.0,11.0,-15.63809073,9.0333859,1.88,0.72,1.96,3.765843249343736,4.806421455148913,3.9940092473179165,2.69538426021293,3.809850260543645,0.0,0.08360294240995202,2.5024634545442466e-06,0.12342452209855007,-15.03194265,1.0131679252822174,0.3673469387755102,55.0,12.0,35.0,132.9054519,24.305,79.904,1.0,2.0,17.0,3.893905,7.646235,11.8138,23.15744,15.03527,21.591,45.5,0.0,324.6,0.79,1.31,2.96,0.659,1.293,2.685,3.43,1.73,1.85,244.0,141.0,120.0,2.6,1.5,1.15,301.59,923.0,265.8,944.0,1363.0,332.0,1879.0,1738.0,,70.94,14.0,19.78,2.09,8.48,5.285,65.0,128.0,14.8,36.0,160.0,0.12,0.242,1.023,0.474,1.0,1.0,2.0,8.0,73.0,98.0
CsMgCl3,Cs,Mg,Cl,P63/mmc ,0.0,13.0,-17.728475325,12.58451505,1.88,0.72,1.81,2.9026834417169836,4.580961886738943,3.8181713613482464,2.519497368354197,3.560306049251121,0.0,0.08556214779847868,1.3272178341928756e-08,0.14126150910040322,-17.115412605000003,1.0313138429163478,0.39779005524861877,55.0,12.0,17.0,132.9054519,24.305,35.453,1.0,2.0,17.0,3.893905,7.646235,12.96763,23.15744,15.03527,23.8136,45.5,0.0,349.0,0.79,1.31,3.16,0.659,1.293,2.869,3.43,1.73,1.75,244.0,141.0,102.0,2.6,1.5,1.0,301.59,923.0,171.6,944.0,1363.0,239.11,1879.0,1738.0,,70.94,14.0,17.39,2.09,8.48,3.2,65.0,128.0,10.2,36.0,160.0,0.0089,0.242,1.023,0.479,1.0,1.0,2.0,8.0,73.0,99.0
CsPbF3,Cs,Pb,F,R3c,0.0,50.0,-22.655302695,10.3726391333333,1.88,1.19,1.285,5.760497876629994,4.195163952205908,3.3311885259530687,2.450356364415509,3.674980157522368,0.03559865302074278,0.16600501710681734,0.0197108573509931,0.4278572510141344,-21.927125954999998,0.9042395807900699,0.9260700389105059,55.0,82.0,9.0,132.9054519,207.2,18.9984032,1.0,14.0,17.0,3.893905,7.41663,17.4228,23.15744,15.03248,34.9708,45.5,35.1,328.0,0.79,2.33,3.98,0.659,,4.193,3.43,2.02,1.47,244.0,146.0,57.0,2.6,1.8,0.5,301.59,600.61,53.53,944.0,2022.0,85.03,1879.0,11340.0,,70.94,18.26,11.2,2.09,4.774,0.255,65.0,178.0,3.27,36.0,35.0,0.0277,0.242,0.13,0.824,1.0,2.0,2.0,8.0,82.0,102.0
CsReO3,Cs,Re,O,Pm-3m,0.0,193.6,-34.87900128,26.5228052,1.88,0.58,1.35,9.113203588539262,3.515515108044428,2.8704060659180404,2.0296835939696467,2.8704060659180404,0.0,2.0934566115783667e-16,2.0934566115783667e-16,2.0934566115783667e-16,-32.94121740999999,1.1833963229184188,0.4296296296296296,55.0,75.0,8.0,132.9054519,186.207,15.9994,1.0,7.0,16.0,3.893905,7.83352,13.61805,23.15744,,35.1211,45.5,14.5,141.0,0.79,1.9,3.44,0.659,,3.61,3.43,2.16,1.52,244.0,151.0,66.0,2.6,1.35,0.6,301.59,3459.0,54.8,944.0,5869.0,90.2,1879.0,21020.0,,70.94,8.86,17.36,2.09,34.08,0.22,65.0,705.0,3.41,36.0,48.0,0.02658,0.242,0.137,0.918,1.0,3.0,2.0,8.0,58.0,101.0
CsSbO3,Cs,Sb,O,Pm-3m,0.326,80.19,-25.85824747,20.1085789,1.88,0.6,1.35,6.794825259626738,3.6353061342755266,2.9682150292615566,2.0988449752106733,2.9682150292615566,0.0,0.0,0.0,0.0,-24.952764879999997,1.17125892473464,0.4444444444444444,55.0,51.0,8.0,132.9054519,121.76,15.9994,1.0,15.0,16.0,3.893905,8.60839,13.61805,23.15744,16.63,35.1211,45.5,103.2,141.0,0.79,2.05,3.44,0.659,1.984,3.61,3.43,2.06,1.52,244.0,139.0,66.0,2.6,1.45,0.6,301.59,903.78,54.8,944.0,1860.0,90.2,1879.0,6697.0,,70.94,18.19,17.36,2.09,19.79,0.22,65.0,68.0,3.41,36.0,24.0,0.02658,0.242,0.207,0.918,1.0,2.0,2.0,8.0,88.0,101.0
CsSnS3,Cs,Sn,S,P-1,0.0,28.84,-20.8314,13.97,1.88,0.69,1.84,3.500195569872076,4.486019805156989,3.65470353069895,2.7211033324905785,3.6226117587417868,0.0020792929865005583,0.04903996131456351,0.4388336284643441,0.508901621741368,-19.943452019999995,1.0396985083059116,0.37499999999999994,55.0,50.0,16.0,132.9054519,118.71,32.065,1.0,14.0,16.0,3.893905,7.34392,10.36001,23.15744,14.6322,23.33788,45.5,107.3,200.0,0.79,1.96,2.58,0.659,1.824,2.589,3.43,2.17,1.8,244.0,139.0,105.0,2.6,1.45,1.0,301.59,505.08,388.36,944.0,2875.0,717.87,1879.0,7310.0,1960.0,70.94,16.29,15.53,2.09,7.15,1.721,65.0,290.0,9.8,36.0,67.0,0.205,0.242,0.227,0.708,1.0,2.0,2.0,8.0,83.0,94.0
