material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1343327,AlAgO3,Hexagonal,P6_3cm,185,30,343.77477103566,5.29927448214778,5.29927448214778,-164.85457442,-5.49515248066667,Al,Ag,O,0.334030971977273,,,
mp-1418444,AlAgO3,Cubic,Pm-3m,221,5,64.179062738118,4.73092208484754,4.73092208484754,-20.62558014,-4.125116028,Al,Ag,O,1.70407743464394,,,
mp-1183159,AlAuO3,Cubic,Pm-3m,221,5,53.2138049795446,8.4860961917872,8.48609808637779,-26.79960013,-5.359920026,Al,Au,O,0.575234608727271,,,
mp-1376082,AlBiO3,Hexagonal,P6_3cm,185,30,409.825690709369,6.90332862275592,6.90332862275592,-183.59616631,-6.11987221033333,Al,Bi,O,0.517672269916667,,,
mp-23080,AlBiO3,Cubic,Pm-3m,221,5,54.3191115073479,8.68068144742511,8.6806838526175,-32.57968332,-6.515936664,Al,Bi,O,0.121609234250002,,,
mp-551918,AlBiO3,Trigonal,R3c,161,10,113.675213729599,8.29603724562296,8.29602835865707,-65.83976018,-6.583976018,Al,Bi,O,0.0533350642500006,131.410649111323,124.832170124857,128.12140961809
mp-1413511,AlBiO3,Cubic,Pm-3m,221,5,78.1054911143712,6.03705189961594,6.03705189961594,-24.85563856,-4.971127712,Al,Bi,O,1.66502289425,,,
mp-1344602,AlBiO3,Orthorhombic,Pnma,62,20,273.845264296274,6.88749399722764,6.88749399722764,-128.05509815,-6.4027549075,Al,Bi,O,0.234789572750001,,,
mp-1392353,AlBiO3,Hexagonal,P6_3/mmc,194,10,147.971035599454,6.3732324585311,6.3732324585311,-57.71946843,-5.771946843,Al,Bi,O,0.865597637250001,,,
mp-775763,AlBiO3,Monoclinic,P2_1/c,14,20,284.084455668852,6.63924961881186,6.63925038929132,-131.16942604,-6.558471302,Al,Bi,O,0.0782941787500002,,,
mp-8110,AlBO3,Trigonal,R-3c,167,10,81.4698638222838,3.49721642615052,3.49721646811567,-77.58874792,-7.758874792,Al,B,O,0.0328901956250132,210.349527363001,198.684990277203,204.517258820102
mp-1435808,AlCoO3,Cubic,Pm-3m,221,5,50.4267135483825,4.40971941493784,4.40971941493784,-26.90345665,-5.38069133,Al,Co,O,1.32827165381818,,,
mp-1386773,AlCoO3,Hexagonal,P6_3/mmc,194,10,96.9199124503758,4.58868878734629,4.58868878734629,-63.92587614,-6.392587614,Al,Co,O,0.28680172181818,,,
mp-1348445,AlCoO3,Hexagonal,P6_3cm,185,30,293.43460356045,4.54685960826025,4.54685960826025,-192.73967014,-6.42465567133333,Al,Co,O,0.269171609151512,,,
mp-1378752,AlCoO3,Orthorhombic,Pnma,62,20,171.353212613181,5.19086054762903,5.19086054762903,-131.28059803,-6.5640299015,Al,Co,O,0.21236072431818,,,
mp-1404938,AlCoO3,Triclinic,P-1,2,10,93.2390921068111,4.76983747355832,4.76983747355832,-16.71446398,-1.671446398,Al,Co,O,5.10494422781818,,,
mp-1248478,AlCoO3,Triclinic,P1,1,30,300.835415978238,4.43500291432238,4.43935661237273,-194.47733425,-6.48257780833333,Al,Co,O,0.281046083484846,,,
mp-776216,AlCoO3,Triclinic,P-1,2,10,93.2390744041256,4.76983837917577,4.76983684965077,-66.28082606,-6.628082606,Al,Co,O,0.13517791681818,84.0068112320121,69.4743092110532,76.7405602215327
mp-1178576,AlCoO3,Trigonal,R-3,148,10,88.0214769023662,5.05257729343631,5.04767521030208,-66.78819372,-6.678819372,Al,Co,O,0.0617001338181797,,,
mp-756947,AlCoO3,Monoclinic,C2/c,15,20,199.734015583365,4.45327566496553,4.39658586706044,-139.61480458,-6.980740229,Al,Co,O,0.13198388231818,,,
mp-754022,AlCoO3,Triclinic,P1,1,10,93.4038295935536,4.76142485235228,4.76142518983074,-69.59698909,-6.959698909,Al,Co,O,0.14641343081818,,,
mp-1385937,AlCrO3,Hexagonal,P6_3/mmc,194,10,102.805308339893,4.10189598016658,4.10189598016658,-69.06488385,-6.906488385,Al,Cr,O,0.374911019500002,,,
mp-1345463,AlCrO3,Orthorhombic,Pnma,62,20,191.020295880122,4.41520288800972,4.41520288800972,-147.14399839,-7.3571999195,Al,Cr,O,0.176285461000003,,,
mp-1383064,AlCrO3,Tetragonal,P4/mmm,123,5,54.5682964191782,3.863934818304,3.863934818304,-31.95156387,-6.390312774,Al,Cr,O,1.3427578775,,,
mp-1251690,AlCrO3,Hexagonal,P6_3cm,185,30,306.474569800616,4.12787933393825,4.12996952290708,-221.00932395,-7.366977465,Al,Cr,O,0.352142375500003,,,
mp-776172,AlCuO3,Monoclinic,P2_1/c,14,20,198.428760625129,4.6369770178525,4.63697651078505,-123.50193645,-6.1750968225,Al,Cu,O,0.11748381154545,,,
mp-1504314,AlCuO3,Cubic,Pm-3m,221,5,50.6180164169159,4.54437800921111,4.54437800921111,-24.872398,-4.9744796,Al,Cu,O,1.32438792954545,,,
mp-1347317,AlCuO3,Orthorhombic,Pnma,62,20,193.451910534151,4.75627043516454,4.75627043516454,-121.66310403,-6.0831552015,Al,Cu,O,0.21573284804545,,,
mp-1412082,AlCuO3,Hexagonal,P6_3/mmc,194,10,97.0016652518258,4.7427515822073,4.7427515822073,-60.63411387,-6.063411387,Al,Cu,O,0.235508398545448,,,
