material_id,formula_pretty,icsd,crystal_system,symbol,number,point_group,nsites,nelements,volume,density,energy_per_atom,formation_energy_per_atom
mp-5821,TaAgS3,"['icsd-73804', 'icsd-84910']",Orthorhombic,Cmcm,63.0,mmm,10.0,3.0,186.09968231755800,6.870790228678840,-6.3799520650000000,-0.9600154182083340
mp-972222,TaBeO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,40.058489189736000,9.8640512476562,-8.196267866,-2.1088165402500000
mp-756050,TaCuO3,,Monoclinic,C2/m,12.0,2/m,20.0,3.0,281.3230122078080,6.905862719148170,-8.664869109,-2.50545902225
mp-3102,TaCuS3,"['icsd-187747', 'icsd-43272', 'icsd-62537']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,397.93832257772500,5.6865816906659100,-6.740789458500000,-1.0675226783750000
mp-1187220,TaFeO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,63.017091198476500,7.5044199147459000,-9.176723004,-2.14315000925
mp-1187260,TaInO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,67.27805888471050,8.484693137654340,-8.400880748,-2.510975249250000
mp-1247469,TaMoN3,,Triclinic,P-1,2.0,-1,20.0,3.0,263.54579189622400,8.037451945338050,-10.2192425,-0.6766599970000000
mp-8074,TaSnO3,"['icsd-247837', 'icsd-27118']",Cubic,Pm-3m,221.0,m-3m,5.0,3.0,67.54808347028870,8.546452732962310,-8.50414018,-2.3626570562500000
mp-756933,TaTlO3,,Cubic,Fd-3m,227.0,m-3m,20.0,3.0,303.75377172937400,9.475574378534990,-8.4983768975,-2.6862795154166700
mp-861873,TaTlO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,68.05963814461340,10.572497647822200,-8.393179314,-2.5810819319166700
mp-676262,TaTlO3,,Monoclinic,C2/c,15.0,2/m,40.0,3.0,605.216109424282,9.511450247152820,-8.50054416875,-2.688446786666670
mp-10795,TaTlS3,['icsd-412385'],Orthorhombic,Pnma,62.0,mmm,20.0,3.0,476.0707586574710,6.718270500255310,-6.416457265,-1.090503189541670
mp-12027,TaTlSe3,['icsd-415528'],Orthorhombic,Pnma,62.0,mmm,20.0,3.0,551.390418635224,7.495276937329650,-5.8580510765,-0.9164200345729170
mp-1246615,TaWN3,,Triclinic,P-1,2.0,-1,20.0,3.0,321.97469323705900,8.392219110180410,-10.5479522635,-0.5828737365000000
mp-4434,TbAlO3,"['icsd-98302', 'icsd-84422']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,203.66615099267200,7.628337563286280,-8.3851686665,-3.74116705375
mp-1187310,TbBeO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,45.99403544769510,7.796004750847250,-7.5446871800000000,-2.9019181602500000
mp-1217607,TbBO3,,Orthorhombic,Ama2,40.0,mm2,10.0,3.0,119.30788763395200,6.060902319096630,-8.699016827,-3.468252026083330
mp-863748,TbBS3,['icsd-710042'],Orthorhombic,Pna2_1,33.0,mm2,20.0,3.0,387.4069269674790,4.559437273518320,-6.263075194000000,-1.5184536997083300
mp-755605,TbCO3,,Monoclinic,P2_1/m,11.0,2/m,20.0,3.0,209.9506627673310,6.926367754212040,-8.5037398375,-2.7631202922500000
mp-19802,TbCoO3,"['icsd-190948', 'icsd-190946', 'icsd-190947', 'icsd-172046', 'icsd-23657']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,205.64415112513500,8.586979182753060,-7.9451875995,-2.6286375937500000
mp-756124,TbCrO3,['icsd-251101'],Orthorhombic,Pnma,62.0,mmm,20.0,3.0,220.4416567686990,7.801541691124650,-9.0416070835,-3.2161111427500000
mp-1208345,TbCrSe3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,428.37124579971200,6.943433380239510,-6.405198821500000,-1.4501692209062500
mp-1187321,TbCuO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,54.13507164739000,8.296382371600240,-6.967511658000000,-2.252783877250000
mp-1187342,TbErO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,76.75262073438620,8.095420538997140,-8.003597216,-3.1951670072500000
mp-756048,TbErO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,283.4667004969910,8.76779870405418,-8.7410922665,-3.93266205775
mp-19853,TbFeO3,"['icsd-27279', 'icsd-189730', 'icsd-252448', 'icsd-98290', 'icsd-84412', 'icsd-22311']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,227.8446071426550,7.660263689728520,-8.434927227,-2.84603653825
mp-1101339,TbGaO3,,Trigonal,R-3c,167.0,-3m,10.0,3.0,113.79690708023500,8.073723894643510,-7.568390402,-3.0678847507500000
mp-756290,TbGaO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,228.39721544072300,8.045324073302230,-7.6274943385,-3.1269886872500000
mp-756224,TbGdO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,296.31536640116900,8.163254091638270,-10.555826073,-3.8457151782500000
mp-981132,TbGeO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,60.04338473889160,7.731512778487520,-7.222090068,-2.40259805025
mp-755740,TbHoO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,285.7770895270980,8.642790494132280,-8.725198068000000,-3.9138298472500000
mp-769263,TbInO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,269.41286852002700,7.932277564294920,-7.380217258,-2.93499406525
mp-754145,TbLuO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,273.160901583886,9.286016758084520,-8.787407117000000,-3.9883305662500000
mp-1187347,TbMgO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,57.35423346911670,6.694606786001650,-6.979735644,-2.7647931872500000
mp-1232232,TbMgS3,,Trigonal,R-3,148.0,-3,30.0,3.0,704.8662119331290,3.949657696891260,-5.360508802,-1.631709651875
mp-1232160,TbMgS3,,Monoclinic,C2/m,12.0,2/m,10.0,3.0,262.68976312505600,3.5326592430058800,-5.283688209,-1.5548890588750000
mp-1232315,TbMgSe3,,Monoclinic,C2/m,12.0,2/m,20.0,3.0,552.9745037860040,5.046233731803070,-4.777536038,-1.4330599214062500
mp-1237963,TbMgSe3,,Monoclinic,C2/m,12.0,2/m,10.0,3.0,289.8299134217000,4.8139244167180400,-4.738442848,-1.3939667314062500
mp-1232347,TbMgSe3,,Trigonal,R-3,148.0,-3,30.0,3.0,802.3379108748620,5.216826768392380,-4.847674414333330,-1.5031982977395800
mp-22055,TbMnO3,"['icsd-252442', 'icsd-157394', 'icsd-15720', 'icsd-92084', 'icsd-92078']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,224.7758055110440,7.738046495726130,-8.7593693125,-3.032079807336210
mp-1188379,TbMnO3,"['icsd-247684', 'icsd-180803', 'icsd-247683']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,270.82295315671600,6.422371567421260,-8.445132788000000,-2.7178432828362100
mp-755865,TbNiO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,211.05097957634100,8.359446103714430,-7.545764436000000,-2.494850653250000
mp-1187352,TbNiO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,52.25900745238170,8.440024863236030,-7.347095932000000,-2.2961821492500000
mp-770347,TbNiO3,,Trigonal,R-3c,167.0,-3m,10.0,3.0,108.19253637657700,8.15337798701662,-7.504032711000000,-2.4531189282500000
mp-1187359,TbOsO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,62.269216857666800,10.59093109716340,-8.02200867,-1.88164873725
