nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,symprec,version,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
20.0,3.0,BaZrSe3,561.8133477504385,5.5026557229467405,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-998427,-6.1113449565,-1.9204629559062503,,,
5.0,3.0,BaZrSe3,148.68645536701626,5.197960744971479,Triclinic,P1,1.0,1,0.1,1.16.2,mp-998350,-6.033841046,-1.8429590454062499,,,
5.0,3.0,BaNbO3,70.62797941745364,6.541520966089961,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-3020,-8.55158716,-3.17951793725,,,"['icsd-150792', 'icsd-50275']"
10.0,3.0,BaNbS3,240.11990490203718,4.514803365910806,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-35143,-6.633025909,-1.7470999928750004,,,['icsd-659538']
5.0,3.0,BaMoO3,66.35139263198728,7.039066312677537,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-19322,-8.038497708,-2.5175594712500002,,,['icsd-43799']
5.0,3.0,BaRuO3,67.1049654561984,7.08696316067908,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1017591,-7.328901740000001,-2.12221301725,,,
30.0,3.0,BaRuO3,415.01932828972775,6.875396671955308,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-3598,-7.371691194333334,-2.1650024715833336,,,"['icsd-160287', 'icsd-173866', 'icsd-246019']"
15.0,3.0,BaRuO3,209.27383936981565,6.817437184487096,Trigonal,R-3m,166.0,-3m,0.1,1.16.2,mp-5773,-7.395671109333334,-2.1889823865833336,,,"['icsd-172175', 'icsd-10253', 'icsd-91075', 'icsd-51293', 'icsd-150205', 'icsd-110770']"
20.0,3.0,BaRuO3,278.8465487700886,6.821965990747581,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-3597,-7.389053776999999,-2.182365054249999,,,"['icsd-84652', 'icsd-172176']"
5.0,3.0,BaRhO3,68.64174366791524,6.9727007498380615,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1016850,-6.739862990000001,-1.9151932012500006,,,
20.0,3.0,BaRhO3,278.4995456894578,6.874242273661015,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-7685,-6.8227054355,-1.9980356467499996,,,['icsd-15520']
5.0,3.0,BaPdO3,70.35635538244601,6.885721971520744,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1178510,-6.073839014,-1.6860544372500001,,,
5.0,3.0,BaCdO3,79.65491918762994,6.206805514125855,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183292,-5.1822687279999995,-1.64588256125,,,
5.0,3.0,BaInO3,78.72164877180886,6.331161973233718,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183288,-6.066852474,-2.1647075132499998,,,
10.0,3.0,BaInO3,158.57786982262536,6.285864600550045,Orthorhombic,Amm2,38.0,mm2,0.1,1.16.2,mp-1227991,-6.046394532,-2.1442495712499996,,,
5.0,3.0,BaSnO3,71.13628093297905,7.097114448493584,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-3163,-6.741954234,-2.5882316482499994,22.509662690000003,5.467657350000009,"['icsd-184338', 'icsd-424820', 'icsd-185615', 'icsd-239582', 'icsd-181091', 'icsd-27049', 'icsd-43138', 'icsd-190601', 'icsd-188149', 'icsd-186899', 'icsd-180138']"
10.0,3.0,BaSnO3,147.10169950504223,6.864126368631641,Orthorhombic,Imma,74.0,mmm,0.1,1.16.2,mp-1178513,-6.741308211000001,-2.587585625250001,,,
20.0,3.0,BaSnS3,501.06558342019883,4.669209108430439,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-1183370,-5.0629518314999995,-1.3953725523750002,,,['icsd-616071']
5.0,3.0,CsBaO3,127.32547365151035,4.150264786101324,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183934,-4.842209254,-1.311320564836207,,,
20.0,3.0,CsBaI3,1033.6136394682028,4.183075736046576,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-1096925,-3.4022673875000002,-1.9553721150862071,7.790711416666667,3.26500663,
10.0,2.0,Ba2S3,299.9588134462406,4.10595871636164,Tetragonal,I4_1md,109.0,4mm,0.1,1.16.2,mp-28978,-5.169715571,-1.9202556748750006,,,['icsd-70058']
10.0,3.0,BaCeO3,172.44455093202092,6.267612673875872,Trigonal,R-3c,167.0,-3m,0.1,1.16.2,mp-4900,-8.12700298,-3.5885769342500007,,,"['icsd-79627', 'icsd-88593', 'icsd-88592', 'icsd-94348']"
10.0,3.0,BaCeO3,172.26711111864293,6.274068485527652,Orthorhombic,Imma,74.0,mmm,0.1,1.16.2,mp-3316,-8.128615542999999,-3.5901894972499995,,,"['icsd-79626', 'icsd-88591', 'icsd-94347']"
20.0,3.0,BaCeO3,344.64733173556965,6.272009404625958,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-3187,-8.129798318,-3.5913722722500006,,,"['icsd-188637', 'icsd-88590', 'icsd-165826', 'icsd-92180', 'icsd-92258', 'icsd-165827', 'icsd-94346', 'icsd-92264', 'icsd-79001', 'icsd-165830', 'icsd-165831', 'icsd-2751', 'icsd-79625', 'icsd-92273']"
5.0,3.0,BaCeO3,89.56619857936725,6.033613517741434,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-5663,-8.089464422,-3.5510383762500006,,,"['icsd-29109', 'icsd-79628']"
10.0,3.0,BaPrO3,189.81459273707014,5.707910908447886,Trigonal,R-3c,167.0,-3m,0.1,1.16.2,mp-6910,-7.275488559999999,-2.9674991942499993,,,['icsd-163754']
5.0,3.0,BaPrO3,96.732161628463,5.600230400246306,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-4783,-7.2028086380000005,-2.8948192722500004,,,"['icsd-52336', 'icsd-163755']"
10.0,3.0,BaPrO3,189.85318606930812,5.706750605022721,Orthorhombic,Imma,74.0,mmm,0.1,1.16.2,mp-6909,-7.2814221770000005,-2.9734328112500004,,,['icsd-163753']
20.0,3.0,BaPrO3,379.2913507547934,5.712994943388242,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-22705,-7.2865833344999995,-2.97859396875,,,"['icsd-2753', 'icsd-163752']"
10.0,3.0,BaNdO3,187.3694230114581,5.841499662797266,Trigonal,R-3c,167.0,-3m,0.1,1.16.2,mp-754307,-7.300780508,-2.99534280675,,,
5.0,3.0,BaNdO3,94.61784245961687,5.783890188613706,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-755877,-7.238127457999999,-2.93268975675,,,
