Sample Target mean_A2B mean_A2X mean_X2X std_A2B std_A2X std_B2X A_Rvdw B_Rvdw X_Rvdw B_Rc B_Ra A_Z B_Z X_Z A_EA X_EA A_MP B_MP B_MV X_MV X_G B_Rho B_Hf B_CvM A_IEI A_ChiP A_ChiA OF TF E_coh
Sample41 0.2484827972 0.2540435729 0.4192410749 0.06684618343 0 0 0 0.6 0.5 0.4204545455 0.3865546218 0.5 0.2051282051 0.3375 0.1538461538 0.8120805369 0.9385964912 0.01106603197 0.1207854677 0.1614213198 0 1 0.3224310471 0.03555944056 0.07687861272 0.08760112669 0.02702702703 0.443236715 0.4948235001 0.4586688244 0.8988608275
Sample42 0.5425239005 0.1323602772 0.637778839 0.4202280146 0.007699865484 0.8399745574 0.7567347534 0.4117647059 0.3229166667 0.4772727273 0.3781512605 0.4230769231 0.6923076923 0.125 0.1346153846 0.8053691275 0.3918128655 0.2823231699 0.1889168694 0.1898477157 0.4242424242 0.9375 0.1056870881 0.0673951049 0.2239884393 0.3300045197 0.2792792793 0.6582125604 0.3005332419 0.4536670357 0.6820427079
Sample43 0.6321878713 0.2528795967 0.6713068043 0.3281706233 0.5282156684 0.6720527598 0.8058668532 0.4117647059 0.4895833333 0.5113636364 0.4201680672 0.5 0.6923076923 0.3 0.1153846154 0.8053691275 0 0.2823231699 0.4250466867 0.07715736041 0.1611570248 0.875 0.4083475714 0.1153846154 0.08641618497 0.3300045197 0.2792792793 0.6582125604 0.2645241448 0.4384813558 0.6872023727
Sample44 0.4664079795 0.1300192981 0.4715741385 0.2311737907 0.06497546806 0.6517941474 0.7138368429 0.4117647059 0.5520833333 0.4772727273 0.5294117647 0.5384615385 0.6923076923 0.2625 0.1346153846 0.8053691275 0.3918128655 0.2823231699 0.5416218663 0.09610829103 0.4242424242 0.9375 0.3224310471 0.1573426573 0.09450867052 0.3300045197 0.2792792793 0.6582125604 0.3646470001 0.410478673 0.653453951
Sample45 0.4419305865 0.1710860278 0.513794612 0.3036526654 0.05959551068 0.7082965975 0.6936577973 0.4117647059 0.6458333333 0.4772727273 0.7899159664 0.6923076923 0.6923076923 0.225 0.1346153846 0.8053691275 0.3918128655 0.2823231699 0.4380623621 0.3590524535 0.4242424242 0.9375 0.1195997071 0.09702797203 0.1289017341 0.3300045197 0.2792792793 0.6582125604 0.4688318573 0.3473324424 0.6581268381
Sample46 0.6474659791 0.2016449063 0.4709320709 0.2671287431 0.3778390547 0.7506514061 0.7805449544 0.05294117647 0.3333333333 0.4772727273 0.3613445378 0.3461538462 0 0.375 0.1346153846 1 0.3918128655 0.04817239446 0.2332069492 0.289678511 0.4242424242 0.9375 0.2534537466 0.1874125874 0.0598265896 0.2936939145 0.1711711712 0.5507246377 0.2404265935 0.3182510841 0.8036515242
Sample47 0.5348033942 0.1620725708 0.46335335 0.2605581548 0.3677535353 0.7573246473 0.6950694114 0.05294117647 0.6770833333 0.4772727273 0.7394957983 0.5769230769 0 0.475 0.1346153846 1 0.3918128655 0.04817239446 0.7029030615 0.2179357022 0.4242424242 0.9375 0.3922382231 0.236013986 0.04132947977 0.2936939145 0.1711711712 0.5507246377 0.3846825496 0.2345467238 0.6872152993
Sample48 0.595747945 0.2175864734 0.4888570568 0.231193654 0.002076695647 0.7164722589 0.7386348411 0.05294117647 0.5520833333 0.4772727273 0.5294117647 0.5769230769 0 0.6 0.1346153846 1 0.3918128655 0.04817239446 0.1805160998 0.4670050761 0.4242424242 0.9375 0.3008054674 0.1467657343 0.02456647399 0.2936939145 0.1711711712 0.5507246377 0.3526256705 0.2518122386 0.8021831556
Sample49 0.5384657158 0.1574363192 0.462452514 0.2527027252 0.3741789057 0.7599438468 0.6860916093 0.05294117647 0.71875 0.4772727273 0.7899159664 0.5769230769 0 0.875 0.1346153846 1 0.3918128655 0.04817239446 0.8556957727 0.2186125212 0.4242424242 0.9375 0.7866731755 0.2934440559 0.005202312139 0.2936939145 0.1711711712 0.5507246377 0.3846825496 0.2345467238 0.6794255682
Sample50 0.9260201196 0.1726887803 0.4818743643 0 0.4182186244 0.7913467832 0.567906862 0 0.1770833333 0.4772727273 0 0 0.1153846154 0.0375 0.1346153846 0 0.3918128655 0.1968100437 1 0.03045685279 0.4242424242 0.9375 0.08454967049 1 0.1696531792 0.7357632431 0.4684684685 0.7807971014 0 0.487445312 0.7266009903
