Sample Target mean_A2B mean_A2X mean_X2X std_A2B std_A2X std_B2X A_Rvdw B_Rvdw X_Rvdw B_Rc B_Ra A_Z B_Z X_Z A_EA X_EA A_MP B_MP B_MV X_MV X_G B_Rho B_Hf B_CvM A_IEI A_ChiP A_ChiA OF TF E_coh
Sample70 0.3741848874 0.2393461041 0.4080152088 0.05044055197 0 0 0 0.7647058824 0.5520833333 0.4772727273 0.5294117647 0.5769230769 0.4358974359 0.6 0.1346153846 0.7869127517 0.3918128655 0.00344269512 0.1805160998 0.4670050761 0.4242424242 0.9375 0.3008054674 0.1467657343 0.02456647399 0.05553484715 0.02702702703 0.4263285024 0.3526256705 0.5545291935 0.8332544469
Sample71 0.488692761 0.204988957 0.3817733613 0.01209036367 0 0 0 0.7647058824 0.6770833333 0.4772727273 0.7226890756 0.5 0.4358974359 0.8875 0.1346153846 0.7869127517 0.3918128655 0.00344269512 0.9702903062 0.1719120135 0.4242424242 0.9375 0.9135953136 0.4310314685 0.00289017341 0.05553484715 0.02702702703 0.4263285024 0.36865411 0.5427355253 0.7134403218
Sample72 0.4225904075 0.1982617946 0.03397483871 0.004581359992 0 0 0 0.2529411765 0.4479166667 0.4772727273 0.5798319328 0.9230769231 0.9230769231 0.975 0.1346153846 0.2432885906 0.3918128655 1 0.08805387358 0.434179357 0.4242424242 0.9375 0.552355382 0.009982517483 0.002023121387 0.7724864042 1 0 0.3365972309 0.558920942 0.7436665183
Sample73 0.8344923771 0.1936147491 0.4969081597 0.03750598767 0.4141511467 0.8204525921 0.5447669761 0.2470588235 0.40625 0.4772727273 0.06722689076 0.1153846154 0.2307692308 0.025 0.1346153846 0.3036912752 0.3918128655 0.4790033603 0.589440326 0 0.4242424242 0.9375 0.09397119844 0.4125874126 0.2612716763 0.5230646001 0.5135135135 0.7185990338 0.08815641761 0.347076984 0.6646410611
Sample74 0.5607034825 0.5509125059 0.5666136146 0.3817699199 1 0.5173616953 0.8607608466 0.4470588235 0.6770833333 0.5113636364 0.7226890756 0.5 0.4487179487 0.8875 0.1153846154 0.08439597315 0 0.2370328845 0.9702903062 0.1719120135 0.1611570248 0.875 0.9135953136 0.4310314685 0.00289017341 0.3531323561 0.1441441441 0.5815217391 0.3163970057 0.4316055368 0.6661625243
Sample75 0.4839517022 0.2995508764 0.5246392447 0.1260743406 0.3384886446 1 0.6210471362 0.2235294118 0.6770833333 0.4772727273 0.5714285714 0.6538461538 0.2435897436 0.5625 0.1346153846 0.1275167785 0.3918128655 0.5192262012 0.09292626337 0.2913705584 0.4242424242 0.9375 0.3961435196 0.02805944056 0.03150289017 0.5753458636 0.6756756757 0.8333333333 0.6331233629 0.06335448218 0.7556814113
Sample76 0.4261450161 0.1877254091 0 0.0426310734 0 0.0951805766 0.1121352971 0.2235294118 0.5104166667 0.4772727273 0.5882352941 0.8461538462 0.2435897436 0.9875 0.1346153846 0.1275167785 0.3918128655 0.5192262012 0.09473431045 0.4693739425 0.4242424242 0.9375 0.5274591164 0.01550699301 0.002312138728 0.5753458636 0.6756756757 0.8333333333 0.8254646376 0 0.7151711004
Sample77 0.4321106709 0.09538137391 0.4500716042 0.2035845903 0.0518563657 0.6635479652 0.6759343237 0.1352941176 0.5520833333 0.4772727273 0.5294117647 0.5384615385 1 0.2625 0.1346153846 0.322147651 0.3918128655 0.08722655594 0.5416218663 0.09610829103 0.4242424242 0.9375 0.3224310471 0.1573426573 0.09450867052 0.4341815501 0.7477477477 0 0.2644692528 0.6159568799 0.7666631536
Sample78 0.3435818346 0.3713899733 0.3962387118 0.01556577383 0 4.23E-12 2.82E-12 0.1352941176 0.46875 0.4772727273 0.5294117647 0.5384615385 1 0.625 0.1346153846 0.322147651 0.3918128655 0.08722655594 0.03425103277 0.7218274112 0.4242424242 0.9375 0.2150353918 0.04160839161 0.02658959538 0.4341815501 0.7477477477 0 0.6331233629 0.3713360797 0.8934965825
Sample79 0.4776085073 0.06057276576 0.4389230821 0.261590395 0.05589977297 0.6836621597 0.6365767167 0.3470588235 0.5625 0.4772727273 0.6470588235 0.5 0.4615384615 0.25 0.1346153846 0.4966442953 0.3918128655 0.4742526311 0.5424707147 0.1329949239 0.4242424242 0.9375 0.2721503539 0.1617132867 0.1060693642 0.45557524 0.3873873874 0.6763285024 0.3846825496 0.292019211 0.6540466315
Sample80 0.5757396914 0.1837838842 0.3474951379 0.1432487073 0.109296868 0.4894936944 0.5615004997 0.3470588235 0.6770833333 0.5113636364 0.7226890756 0.5 0.4615384615 0.8875 0.1153846154 0.4966442953 0 0.4742526311 0.9702903062 0.1719120135 0.1611570248 0.875 0.9135953136 0.4310314685 0.00289017341 0.45557524 0.3873873874 0.6763285024 0.3312178231 0.292135083 0.6147988851
