Coef_a,Coef_b,Coef_c,Coef_d,s_X,X_Z,X_M,X_G,X_IEI,X_IEII,X_EA,X_ChiP,X_ChiA,X_Rvdw,X_Rc,X_Ra,X_MP,X_BP,X_MV,X_Hf,X_Hv,X_Kappa,X_CvM,X_B,X_MendeleevNo
7.27227545510157E-08,-0.000234996472504912,0.00489291117694764,26.2829399497208,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
9.37259555531543E-08,-0.00027804645216087,-0.00144284855214147,19.3501682644218,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
8.97048263201155E-08,-0.000270375969178916,0.00459105349118522,20.3470213978715,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
7.7135432393253E-08,-0.000245861607029742,0.0160441899431824,23.9970598429806,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
9.35018208037061E-08,-0.000277473911077731,-0.00300138080839021,19.4975137600353,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
6.55162995240048E-08,-0.000217966561013091,0.0119163171389488,28.6313585350269,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.1053052070031E-08,-0.000211205795375791,0.0119821702506016,30.8614375963326,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
1.30637707537444E-07,-0.000347385356340194,-0.0998120240888639,11.0763008467857,1.96,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,265.8,332,19.78,5.285,14.8,0.12,0.474,2,98
1.35678831804716E-07,-0.000356719516091003,-0.122676058838022,10.0522522619581,2.2,53,126.90447,17,10.45126,19.1313,295.2,2.66,2.359,1.98,139,1.4,386.85,457.4,25.72,7.76,20.9,0.449,0.214,2,97
9.96997255592241E-08,-0.000288545669763118,-0.0138283372884081,18.7307195557255,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
8.73545372446485E-08,-0.000260832051323079,-0.0322977538175904,25.9627473843867,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.73160952314567E-08,-0.000197325290277691,-0.00824978845771751,41.2189144566355,1.3,1,1.00794,1,13.598443,100,72.8,2.2,2.3,1.1,31,0.25,14.01,20.28,11.42,0.06,0.452,0.1805,14.304,1,103
8.97568617460347E-08,-0.000266073470324279,-0.0320821466757422,24.6729546732876,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
8.70294955696452E-08,-0.000265072885130665,0.00552341935555799,21.2176887926348,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
1.35615984669588E-07,-0.000356784636508958,-0.0961337223132951,9.93530864028419,1.96,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,265.8,332,19.78,5.285,14.8,0.12,0.474,2,98
1.27846125166763E-07,-0.000342512564941389,-0.0665684630269555,11.4212682120076,1.81,17,35.453,17,12.96763,23.8136,349,3.16,2.869,1.75,102,1,171.6,239.11,17.39,3.2,10.2,0.0089,0.479,2,99
