Coef_a,Coef_b,Coef_c,Coef_d,s_A,A_Z,A_M,A_G,A_IEI,A_IEII,A_EA,A_ChiP,A_ChiA,A_Rvdw,A_Rc,A_Ra,A_MP,A_BP,A_Rho,A_MV,A_Hf,A_Hv,A_Kappa,A_CvM,A_B,A_MendeleevNo
9.96997255592241E-08,-0.000288545669763118,-0.0138283372884081,18.7307195557255,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
8.73545372446485E-08,-0.000260832051323079,-0.0322977538175904,25.9627473843867,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
5.73160952314567E-08,-0.000197325290277691,-0.00824978845771751,41.2189144566355,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
8.97568617460347E-08,-0.000266073470324279,-0.0320821466757422,24.6729546732876,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
8.70294955696452E-08,-0.000265072885130665,0.00552341935555799,21.2176887926348,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
1.35615984669588E-07,-0.000356784636508958,-0.0961337223132951,9.93530864028419,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
1.27846125166763E-07,-0.000342512564941389,-0.0665684630269555,11.4212682120076,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
6.51415454651215E-08,-0.000220788164642317,0.0142647599414638,29.0342340001772,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
8.06379934232657E-08,-0.000251721721627435,0.008528191147674,23.954972374457,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
6.48675291626049E-08,-0.000220238553172426,0.0141331185288161,29.1276934712796,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
7.40122035827452E-08,-0.000238164067851399,0.00223952058025568,26.3705584814523,1.7,75,186.207,7,7.83352,13,14.5,1.9,,2.16,151,1.35,3459,5869,21020,8.86,34.08,705,48,0.137,3,58
4.03804114191208E-08,-0.00016466019735495,0.0169534309328114,45.7357231795258,0.745,21,44.955912,3,6.56149,12.79977,18.1,1.36,1.19,2.15,170,1.6,1814,3103,2985,15,14.1,318,16,0.568,3,19
6.36399269711194E-08,-0.000214208262440367,0.00327389756911796,33.0520223888456,1.44,38,87.62,2,5.69485,11.0301,5.03,0.95,0.963,2.49,195,2,1050,1655,2630,33.94,7.43,137,35,0.306,1,15
6.61867860400526E-08,-0.000221877922247146,0.00882657351982297,29.0724431139432,0.74,22,47.867,4,6.82812,13.5755,7.6,1.54,1.38,2.11,160,1.4,1941,3560,4507,10.64,14.15,425,22,0.524,3,51
7.5028862816059E-08,-0.00023937473865123,-0.0017620037512988,26.9643145807369,0.74,22,47.867,4,6.82812,13.5755,7.6,1.54,1.38,2.11,160,1.4,1941,3560,4507,10.64,14.15,425,22,0.524,3,51
7.14007206577176E-08,-0.000233587975660897,0.0077548620403108,26.6088060195381,1.7,81,204.3833,13,6.108194,20.4283,19.2,1.62,,1.96,145,1.9,577,1746,11850,17.22,4.142,165,46,0.129,2,78
9.18423500069739E-08,-0.000270098652442555,-0.0447152536876522,24.0013656623184,1.7,81,204.3833,13,6.108194,20.4283,19.2,1.62,,1.96,145,1.9,577,1746,11850,17.22,4.142,165,46,0.129,2,78
6.48691027138969E-08,-0.000220901207171312,0.016973646463804,28.4659383076556,1.075,39,88.90585,3,6.2173,12.224,29.6,1.22,1.12,2.32,190,1.8,1799,3609,4472,19.88,11.39,380,17,0.298,3,25
5.97285312024693E-08,-0.000205822344343838,0.00746129458442837,32.9844579025113,1.075,39,88.90585,3,6.2173,12.224,29.6,1.22,1.12,2.32,190,1.8,1799,3609,4472,19.88,11.39,380,17,0.298,3,25
