Coef_a,Coef_b,Coef_c,Coef_d,s_B,B_Z,B_M,B_G,B_IEI,B_IEII,B_EA,B_ChiP,B_Rvdw,B_Rc,B_Ra,B_MP,B_BP,B_Rho,B_MV,B_Hf,B_Hv,B_Kappa,B_CvM,B_B,B_MendeleevNo
6.53675873352092E-08,-0.000219160055735185,0.00733022934832523,29.3472081850829,0.6,51,121.76,15,8.60839,16.63,103.2,2.05,2.06,139,1.45,903.78,1860,6697,18.19,19.79,68,24,0.207,2,88
5.92772658241238E-08,-0.000186726343069505,0.00590784121577288,19.4733877458115,0.64,73,180.94788,5,7.54957,15,31,1.5,2.22,170,1.45,3290,5731,16650,10.85,36.57,735,57,0.14,3,52
9.79839599843718E-08,-0.000285926967853191,-0.00717397228976041,18.5529453638311,0.74,30,65.409,12,9.394199,17.96439,0,1.65,2.01,122,1.35,692.68,1180,7140,9.16,7.068,119,120,0.388,3,76
5.87606306986609E-08,-0.00020758537157687,0.0152270187631997,31.6428662356705,0.535,13,26.9815386,13,5.985768,18.82855,42.5,1.61,1.84,121,1.25,933.47,2792,2700,10,10.71,293,235,0.897,2,80
6.66175234801514E-08,-0.000217540044231258,-0.000280577796208744,36.6942620063263,0.53,27,58.933195,9,7.88101,17.084,63.7,1.88,2,126,1.35,1768,3200,8900,6.67,16.2,375,100,0.421,3,64
6.73072450545356E-08,-0.000225348859061681,0.0132821214366024,28.08165122635,0.615,24,51.9961,6,6.76651,16.4857,64.3,1.66,2.06,139,1.4,2180,2944,7140,7.23,21,339,94,0.449,3,57
7.05937165732025E-08,-0.000231900009286854,0.0109156848109494,27.0026902910612,0.745,21,44.955912,3,6.56149,12.79977,18.1,1.36,2.15,170,1.6,1814,3103,2985,15,14.1,318,16,0.568,3,19
4.46713554043745E-08,-0.000178085963571529,0.0204638544212991,36.3980006660099,0.46,33,74.9216,15,9.7886,18.5892,78,2.18,1.85,119,1.15,1090,887,5727,12.95,24.44,32.4,50,0.329,2,89
5.66365897109149E-08,-0.000200664518220545,0.0176497132368932,31.1584588560371,0.64,41,92.90638,5,6.75885,14,86.1,1.6,2.18,164,1.45,2750,5017,8570,10.83,30,690,54,0.265,3,53
5.04066536736226E-08,-0.000189765345397668,0.0175860754516541,34.0345316998514,0.6,51,121.76,15,8.60839,16.63,103.2,2.05,2.06,139,1.45,903.78,1860,6697,18.19,19.79,68,24,0.207,2,88
5.90900343867015E-08,-0.000206796446062217,0.0145950384715826,31.4619197982873,0.64,73,180.94788,5,7.54957,15,31,1.5,2.22,170,1.45,3290,5731,16650,10.85,36.57,735,57,0.14,3,52
3.9509390502145E-08,-0.000159940461523475,0.0156941846704113,50.8764311824427,0.16,6,12.0107,14,11.2603,24.3833,153.9,2.55,1.7,76,0.7,3800,4300,2267,5.29,117.4,715,140,0.709,2,95
3.63271942706267E-08,-0.000161421380664763,0.0231877966893063,40.5614143113091,0.4,14,28.0855,14,8.15168,16.34584,133.6,1.9,2.1,111,1.1,1687,3173,2330,12.06,50.21,359,150,0.712,2,85
5.0848505266217E-08,-0.000191975247197183,0.0225317194965461,34.1705599358688,0.605,22,47.867,4,6.82812,13.5755,7.6,1.54,2.11,160,1.4,1941,3560,4507,10.64,14.15,425,22,0.524,3,51
