Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
InBO3,141.0,1.52,8.0,3.537897459836623,16.0,35.1211,2.9400862479276832,1.93,1.656,5.78636,5.0,50.2,0.85,3.198103717288959,0.8435092219657662,0.2,28.9,0.9871424303066916,2460.0,-33.7007496133333,1.78,1.026,2349.0,84.0,0.9908224649959648,1.92,429.75,0.318474429925951,82.0,17.36
InGaO3,141.0,1.52,8.0,3.63106162830822,16.0,35.1211,3.5992668146287485,1.93,1.656,5.78636,31.0,5.585,1.3,2.643705335252507,1.267167593690299,0.4592592592592592,28.9,0.4153891582140835,5904.0,-28.38383331,1.78,0.373,302.91,122.0,0.8147880169002348,1.87,429.75,0.797759026058003,82.0,17.36
KCaBr3,324.6,1.85,35.0,4.760687525931628,17.0,21.591,4.274974204427614,2.75,0.734,4.3406633,20.0,8.54,1.8,3.733854658762723,0.0186253987306681,0.6836734693877552,48.4,0.4573374391358463,1550.0,-17.07937964,0.82,0.647,1115.0,176.0,0.77138921583987,2.31,336.53,0.2708010474314588,100.0,19.78
KMgF3,328.0,1.47,9.0,3.5101925239930547,17.0,34.9708,2.866060194238394,2.75,0.734,4.3406633,12.0,8.48,1.5,2.866060194238394,0.0,0.5603112840466926,48.4,0.0,1738.0,-24.16707869,0.82,1.023,923.0,141.0,1.0315647555963348,1.73,336.53,0.0,100.0,11.2
KMgH3,72.8,1.1,1.0,3.48187888854885,1.0,,2.8429422077045667,2.75,0.734,4.3406633,12.0,8.48,1.5,2.8429422077045667,0.0,0.5538461538461538,48.4,0.0,1738.0,-13.65108557,0.82,1.023,923.0,141.0,1.0291554142022028,1.73,336.53,0.0,100.0,11.42
KNbO3,141.0,1.52,8.0,3.4879817420507093,16.0,35.1211,3.162866598613259,2.75,0.734,4.3406633,41.0,30.0,1.45,2.875663140805176,1.1075120114612125,0.474074074074074,48.4,0.0788937248380693,8570.0,-37.39370056999999,0.82,0.265,2750.0,164.0,1.0624368219838074,2.18,336.53,0.5192636682359718,100.0,17.36
KSbO3,141.0,1.52,8.0,4.150302097901793,16.0,35.1211,3.453384467199337,2.75,0.734,4.3406633,51.0,19.79,1.45,3.30471224726176,0.0087238848579355,0.4444444444444444,48.4,0.746552958177864,6697.0,-27.364688415,0.82,0.207,903.78,139.0,1.0842303978193728,2.06,336.53,0.6993154717898551,100.0,17.36
KTaO3,141.0,1.52,8.0,3.4866949766651887,16.0,35.1211,2.846874527185004,2.75,0.734,4.3406633,73.0,36.57,1.45,2.846874527185004,0.0,0.474074074074074,48.4,0.0,16650.0,-38.12573855,0.82,0.14,3290.0,170.0,1.0624368219838074,2.22,336.53,0.0,100.0,17.36
KZnF3,328.0,1.47,9.0,3.578341692014702,17.0,34.9708,2.921703756921138,2.75,0.734,4.3406633,30.0,7.068,1.35,2.921703756921138,0.0,0.575875486381323,48.4,0.0,7140.0,-20.29370065,0.82,0.388,692.68,122.0,1.0213764617139018,2.01,336.53,0.0,100.0,11.2
LaAlO3,141.0,1.52,8.0,3.304057586370329,16.0,35.1211,3.5043673191221134,2.43,1.09,5.5769,13.0,10.71,1.25,3.448294513623481,1.105863147878372,0.3962962962962963,48.0,1.0001519111189976,2700.0,-39.0343504716667,1.1,0.897,933.47,121.0,1.016583223880925,1.84,1193.0,0.8815192004864317,13.0,17.36
LaCoN3,7.0,1.55,7.0,3.5757179944759527,15.0,29.6013,3.352581112796559,2.43,1.09,5.5769,27.0,16.2,1.35,3.5290838301560306,1.1776629142426704,0.363013698630137,48.0,0.8002085851685942,8900.0,-38.5883754275,1.1,0.421,1768.0,126.0,1.0020307150482737,2.0,1193.0,0.8705943169483304,13.0,13.54
LaCrO3,141.0,1.52,8.0,3.298780827902446,16.0,35.1211,3.192650649348973,2.43,1.09,5.5769,24.0,21.0,1.4,3.047806024159016,1.0431737865948136,0.4555555555555555,48.0,0.7760867950974663,7140.0,-41.5054164625,1.1,0.449,2180.0,139.0,0.9751956117127448,2.06,1193.0,0.6077545478038938,13.0,17.36
LaScO3,141.0,1.52,8.0,3.391348597184747,16.0,35.1211,3.3121553764733545,2.43,1.09,5.5769,21.0,14.1,1.6,3.1495408944869303,1.013684903172241,0.5518518518518518,48.0,0.8433638726681897,2985.0,-41.10151599,1.1,0.568,1814.0,170.0,0.91468228019835,2.15,1193.0,0.5990997750016548,13.0,17.36
LiAsO3,141.0,1.52,8.0,3.460230809724888,16.0,35.1211,3.2519339481274354,1.82,0.912,5.391719,33.0,24.44,1.15,3.046258891706612,1.140658462428806,0.3407407407407407,59.6,0.8937954510242856,5727.0,-28.52310609,0.98,0.329,1090.0,119.0,0.8868134769577142,1.85,453.69,0.835011273046396,85.0,17.36
LiNbO3,141.0,1.52,8.0,3.3710315275096003,16.0,35.1211,3.2411002207515964,1.82,0.912,5.391719,41.0,30.0,1.45,3.027997130982528,1.015747781918622,0.474074074074074,59.6,0.901741233350652,8570.0,-38.587258115,0.98,0.265,2750.0,164.0,0.8065991926097802,2.18,453.69,0.729203461297469,85.0,17.36
