Name,B_Ra,B_Rc,B_Rvdw,A_Rvdw,X_Rvdw,mean_A2X,mean_A2B,mean_X2X,std_A2X,std_A2B,std_B2X,X_G,X_EA,A_EA,B_CvM,A_ChiA,A_MP,B_MP
CsGeCl3,1.25,120.0,2.11,3.43,1.75,3.926612321322098,4.741574616084046,3.819309305199508,0.0487757707083919,0.0523074130918961,0.3533802251714047,17.0,349.0,45.5,0.32,0.659,301.59,1211.4
CsIO3,1.4,139.0,1.98,3.43,1.52,3.3683444391900275,4.033309574815747,3.4525092470550085,0.0680978774252657,0.0185348995146854,0.5662963260789745,16.0,141.0,45.5,0.214,0.659,301.59,386.85
CsMgBr3,1.5,141.0,1.73,3.43,1.85,3.994009247317917,4.806421455148913,3.809850260543645,0.083602942409952,0.0,2.5024634545442466e-06,17.0,324.6,45.5,1.023,0.659,301.59,923.0
CsMgCl3,1.5,141.0,1.73,3.43,1.75,3.8181713613482464,4.580961886738943,3.560306049251121,0.0855621477984786,0.0,1.3272178341928756e-08,17.0,349.0,45.5,1.023,0.659,301.59,923.0
CsPbF3,1.8,146.0,2.02,3.43,1.47,3.3311885259530687,4.195163952205908,3.674980157522368,0.1660050171068173,0.0355986530207427,0.0197108573509931,17.0,328.0,45.5,0.13,0.659,301.59,600.61
CsReO3,1.35,151.0,2.16,3.43,1.52,2.8704060659180404,3.515515108044428,2.8704060659180404,2.0934566115783667e-16,0.0,2.0934566115783667e-16,16.0,141.0,45.5,0.137,0.659,301.59,3459.0
CsSbO3,1.45,139.0,2.06,3.43,1.52,2.968215029261557,3.635306134275527,2.968215029261557,0.0,0.0,0.0,16.0,141.0,45.5,0.207,0.659,301.59,903.78
CsSnS3,1.45,139.0,2.17,3.43,1.8,3.65470353069895,4.486019805156989,3.6226117587417854,0.0490399613145635,0.0020792929865005,0.4388336284643441,16.0,200.0,45.5,0.227,0.659,301.59,505.08
CsSrBr3,2.0,195.0,2.49,3.43,1.85,4.002324604601324,5.104788320138425,4.39464884398747,0.4374860581182996,0.1974591055805649,0.0275706761517663,17.0,324.6,45.5,0.306,0.659,301.59,1050.0
CsWO3,1.35,162.0,2.18,3.43,1.52,2.8842706448720707,3.53249568001238,2.8842706448720707,0.0,0.0,0.0,16.0,141.0,45.5,0.132,0.659,301.59,3695.0
InBO3,0.85,84.0,1.92,1.93,1.52,3.198103717288959,3.537897459836623,2.9400862479276832,0.9871424303066916,0.4110009730663779,0.8435092219657662,16.0,141.0,28.9,1.026,1.656,429.75,2349.0
InGaO3,1.3,122.0,1.87,1.93,1.52,2.643705335252507,3.63106162830822,3.5992668146287485,0.4153891582140835,0.0,1.267167593690299,16.0,141.0,28.9,0.373,1.656,429.75,302.91
KCaBr3,1.8,176.0,2.31,2.75,1.85,3.733854658762723,4.760687525931628,4.274974204427614,0.4573374391358463,0.1924624761925853,0.0186253987306681,17.0,324.6,48.4,0.647,0.734,336.53,1115.0
KMgF3,1.5,141.0,1.73,2.75,1.47,2.866060194238394,3.5101925239930547,2.866060194238394,0.0,0.0,0.0,17.0,328.0,48.4,1.023,0.734,336.53,923.0
