     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        28    0.4347856454E+00    0.4682509504E+00    0.3367393596E+01    0.7887860071E+00    0.4847906656E-01
        29    0.3037017519E+00    0.3674058065E+00    0.3580964915E+01    0.7177534864E+00   -0.2460396802E+00
        30    0.1782511074E+00    0.1806450859E+00    0.4006268651E+01    0.4033862291E+00   -0.2219238740E+00
        31    0.2841208036E-01    0.4715224446E-01    0.4661334167E+01    0.5920486133E+00    0.5538575974E+00
        32    0.4362617954E+00    0.4822529627E+00    0.3378165104E+01    0.8613893097E+00    0.1416082791E+00
        33    0.8201409387E+00    0.8098554292E+00    0.2409421347E+01    0.1183927024E+01   -0.4591585957E+00
        34    0.5352530737E+00    0.5245447910E+00    0.2851291498E+01    0.2747978412E+00   -0.4444783448E+00
        35    0.7018101304E-01    0.4581814868E-01    0.4303154410E+01    0.2112925910E+00   -0.3349814699E+00
        36    0.3414526589E+00    0.3352682197E+00    0.3739662457E+01    0.6685746678E+00    0.1649361359E+00
        37    0.9312645901E+00    0.8835113416E+00    0.2001938319E+01    0.5877932732E+00    0.2849830388E-01
        38    0.4728591681E+00    0.4095407373E+00    0.3449216518E+01    0.4369885635E+00    0.3889161111E+00
        39    0.4883533238E+00    0.4534984345E+00    0.3318637488E+01    0.2456336964E+00    0.8494543678E+00
        40    0.4459683542E+00    0.3955651804E+00    0.3491046088E+01    0.5159761667E+00    0.2019492522E+00
        41    0.2484827972E+00    0.2375469034E+00    0.3564979322E+01    0.3717253120E+00   -0.1458299486E+01
        42    0.5425239005E+00    0.5387603755E+00    0.3074806185E+01    0.6337803153E+00    0.2830220801E-01
        43    0.6321878713E+00    0.5696635454E+00    0.3148899859E+01    0.1001010124E+01    0.0000000000E+00
        44    0.4664079795E+00    0.4754064838E+00    0.3090089277E+01    0.3440148759E+00   -0.1697794876E+00
        45    0.4419305865E+00    0.4079477092E+00    0.3345278004E+01    0.2272763472E+00    0.3430755963E+00
        46    0.6474659791E+00    0.6640763549E+00    0.2734968462E+01    0.7892363846E+00   -0.1255854227E+00
        47    0.5348033942E+00    0.5571081241E+00    0.3082775813E+01    0.6403331432E+00    0.3256831073E+00
        48    0.5957479450E+00    0.5467298572E+00    0.3140522105E+01    0.7638327688E+00    0.1669936690E+00
        49    0.5384657158E+00    0.5565938732E+00    0.3080190245E+01    0.6189418814E+00    0.3549694986E+00
        50    0.9260201196E+00    0.9389201119E+00    0.2087251768E+01    0.1136369045E+01    0.0000000000E+00
        51    0.7361050872E+00    0.7173220679E+00    0.2775583740E+01    0.1163167922E+01    0.0000000000E+00
        52    0.6016079643E+00    0.5637135153E+00    0.3011066033E+01    0.6720130495E+00    0.0000000000E+00
        53    0.4231124190E+00    0.4648709914E+00    0.3437538087E+01    0.6564576188E+00    0.6479794860E+00
        54    0.2707455820E+00    0.2871782950E+00    0.3497911455E+01    0.3004788003E+00   -0.8810294914E+00
        55    0.2959813214E+00    0.3836991936E+00    0.3369010208E+01    0.3886675974E+00   -0.2766622818E+00
        56    0.3819403009E+00    0.3573291306E+00    0.3488145710E+01    0.9937705112E-01    0.5835772569E+00
        57    0.2728894142E+00    0.2510022362E+00    0.3251141306E+01    0.1548971281E+00   -0.2289836156E+01
        58    0.4760976244E+00    0.4787789020E+00    0.3184919504E+01    0.4029700435E+00    0.2076114653E+00
        59    0.5238503831E+00    0.5168532350E+00    0.3263545585E+01    0.6666631315E+00    0.5484843597E+00
        60    0.3957885232E-01    0.9143010303E-01    0.4089346578E+01    0.2262976663E+00   -0.7353294604E+00
        61    0.7654246581E-02    0.2118312189E-01    0.4212416497E+01    0.9783099248E-01   -0.8830341769E+00
        62    0.2465742021E+00    0.2493908971E+00    0.3849782108E+01    0.5082530811E+00   -0.2053193708E+00
        63    0.3922205405E+00    0.3873259419E+00    0.3244096485E+01    0.1409781007E+00   -0.2591952531E+00
        64    0.7214257889E+00    0.7410662341E+00    0.2354157721E+01    0.3953859923E+00    0.7319806677E-01
        65    0.3546175074E+00    0.2976564787E+00    0.3612868752E+01    0.2906978707E+00   -0.1398600975E+00
        66    0.3151681388E+00    0.3469077246E+00    0.3780759996E+01    0.8109256133E+00    0.2094316181E+00
