     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6        descriptor_7
        21    0.6716992257E-01    0.7163577167E-01    0.4439039295E+01    0.5509320705E+00   -0.5371732006E+00    0.2769595720E-01    0.3034564761E+00    0.0000000000E+00   -0.4641852405E+01
        22    0.1803989641E+00    0.1973624521E+00    0.4072437163E+01    0.7608495808E+00   -0.7758924837E+00    0.3464763359E+00    0.2130394192E+01    0.0000000000E+00    0.1344562017E+01
        23    0.7529198835E-01    0.9453139250E-01    0.4127659230E+01    0.2961344315E+00   -0.1011928332E+01    0.1559124833E+00    0.1385851002E+00    0.0000000000E+00   -0.2485458389E+01
        24    0.3525738643E+00    0.3313621238E+00    0.3739854852E+01    0.5693650555E+00   -0.1778753105E-01    0.2488873039E+00   -0.1072911701E+01    0.0000000000E+00    0.1210702780E+01
        25    0.7736433374E-01    0.9219632263E-01    0.4440452748E+01    0.5719156619E+00   -0.1347482003E+00    0.2186691940E+00    0.1106016945E+01    0.0000000000E+00    0.1509835758E+00
        26    0.1499367398E+00    0.1252164595E+00    0.4327752260E+01    0.6518618905E+00   -0.4845027286E-03    0.3957587242E+00    0.3793577775E+01    0.0000000000E+00   -0.2815666327E+00
        27    0.1047338901E+00    0.9916509021E-01    0.4298791638E+01    0.7448556698E+00    0.2768146126E-01    0.1830050387E+00    0.9874714049E+02    0.0000000000E+00   -0.3790343629E+01
        28    0.4347856454E+00    0.4517194381E+00    0.3367393596E+01    0.7887860071E+00    0.4847906656E-01    0.5959191104E+00    0.1593561081E-01    0.0000000000E+00    0.1162577679E+01
        29    0.3037017519E+00    0.3337533252E+00    0.3580964915E+01    0.7177534864E+00   -0.2460396802E+00    0.7499034916E+00    0.2287740163E+00    0.0000000000E+00    0.1551049990E+01
        30    0.1782511074E+00    0.1696705003E+00    0.4006268651E+01    0.4033862291E+00   -0.2219238740E+00    0.4620727801E+00    0.5651328029E+00    0.0000000000E+00   -0.4539699383E-01
        31    0.2841208036E-01    0.1979984318E-01    0.4661334167E+01    0.5920486133E+00    0.5538575974E+00    0.5638144285E+00   -0.5848788388E+00    0.0000000000E+00    0.0000000000E+00
        32    0.4362617954E+00    0.4768620235E+00    0.3378165104E+01    0.8613893097E+00    0.1416082791E+00    0.5110153901E+00    0.9067324383E-02    0.0000000000E+00    0.1127703724E+01
        33    0.8201409387E+00    0.8108085919E+00    0.2409421347E+01    0.1183927024E+01   -0.4591585957E+00    0.5425275071E+00    0.2523113599E+00    0.7556279330E-03    0.6288657492E-02
        34    0.5352530737E+00    0.5403935471E+00    0.2851291498E+01    0.2747978412E+00   -0.4444783448E+00    0.1984989440E+00    0.4100676533E+01    0.5461580480E-04   -0.1460165159E+01
        35    0.7018101304E-01    0.6705449822E-01    0.4303154410E+01    0.2112925910E+00   -0.3349814699E+00    0.1541494270E+00   -0.5195324728E+01   -0.7381220978E-03   -0.1616147302E+01
        36    0.3414526589E+00    0.3516377197E+00    0.3739662457E+01    0.6685746678E+00    0.1649361359E+00    0.2775914147E+00    0.2762562194E+01   -0.3392598343E-03    0.9940585409E+00
        37    0.9312645901E+00    0.9298403757E+00    0.2001938319E+01    0.5877932732E+00    0.2849830388E-01    0.1956229252E+00    0.2409851917E+01   -0.3341817984E-03    0.5276802712E+01
        38    0.4728591681E+00    0.4532081007E+00    0.3449216518E+01    0.4369885635E+00    0.3889161111E+00    0.8201864830E-02    0.4084235137E+00    0.2224447287E-04    0.2695790627E+00
        39    0.4883533238E+00    0.4844191255E+00    0.3318637488E+01    0.2456336964E+00    0.8494543678E+00    0.4861413990E-01   -0.2358434381E+01   -0.2623872518E-03   -0.6412382413E-01
        40    0.4459683542E+00    0.4373176733E+00    0.3491046088E+01    0.5159761667E+00    0.2019492522E+00    0.2346949280E-01    0.2801368376E-01   -0.1470210211E-02    0.4566391434E-01
        41    0.2484827972E+00    0.2414933191E+00    0.3564979322E+01    0.3717253120E+00   -0.1458299486E+01    0.4674889511E+00   -0.3257413077E+01   -0.1980042460E-03    0.4065760801E+00
        42    0.5425239005E+00    0.5117381683E+00    0.3074806185E+01    0.6337803153E+00    0.2830220801E-01    0.6740008348E+00    0.2807663349E+01    0.4829370387E-02   -0.3659044596E-01
        43    0.6321878713E+00    0.6210909958E+00    0.3148899859E+01    0.1001010124E+01    0.0000000000E+00    0.4275765244E+00    0.7540275223E+00    0.2728260287E-01   -0.1491419408E+00
        44    0.4664079795E+00    0.4498015342E+00    0.3090089277E+01    0.3440148759E+00   -0.1697794876E+00    0.6394219081E+00    0.7486792344E+01    0.7309277723E-02   -0.4466161215E-01
