     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        60    0.3957885232E-01    0.1195903252E+00    0.4089346578E+01    0.2262976663E+00
        61    0.7654246581E-02    0.5500769179E-01    0.4212416497E+01    0.9783099248E-01
        62    0.2465742021E+00    0.2511307668E+00    0.3849782108E+01    0.5082530811E+00
        63    0.3922205405E+00    0.3863552336E+00    0.3244096485E+01    0.1409781007E+00
        64    0.7214257889E+00    0.7301181569E+00    0.2354157721E+01    0.3953859923E+00
        65    0.3546175074E+00    0.2905225298E+00    0.3612868752E+01    0.2906978707E+00
        66    0.3151681388E+00    0.3294871739E+00    0.3780759996E+01    0.8109256133E+00
        67    0.1206344592E-01    0.1535797292E-01    0.4377073397E+01    0.1818649165E+00
        68    0.5978225850E-01    0.6212610359E-01    0.4286785475E+01    0.2727640524E+00
        69    0.4867334080E+00    0.4390314066E+00    0.3324468763E+01    0.5762387312E+00
        70    0.3741848874E+00    0.3599115869E+00    0.3526726349E+01    0.5129876426E+00
        71    0.4886927610E+00    0.4479885031E+00    0.3336919579E+01    0.6480279794E+00
        72    0.4225904075E+00    0.3736203235E+00    0.3476441826E+01    0.4960824929E+00
        73    0.8344923771E+00    0.8465630344E+00    0.2342639798E+01    0.1011665562E+01
        74    0.5607034825E+00    0.5190694560E+00    0.3093111115E+01    0.5913107441E+00
        75    0.4839517022E+00    0.5425454182E+00    0.3171490175E+01    0.8631054522E+00
        76    0.4261450161E+00    0.4537706810E+00    0.3185311056E+01    0.4024835737E+00
        77    0.4321106709E+00    0.5360010213E+00    0.3050965886E+01    0.6069265193E+00
        78    0.3435818346E+00    0.3054542924E+00    0.3435606631E+01    0.4832841076E-01
        79    0.4776085073E+00    0.5067713257E+00    0.2963485702E+01    0.2869999220E+00
        80    0.5757396914E+00    0.5992603500E+00    0.2772658989E+01    0.4443242665E+00
