     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        52    0.8773503641E+00    0.8617612071E+00    0.2805713342E+00    0.3838634064E-01    0.1598381966E+01
        53    0.5011887913E+00    0.5286281556E+00    0.5187955173E+00    0.1765492272E+00    0.4183827021E+00
        54    0.8986310948E+00    0.8601372647E+00    0.2100671888E+00    0.2342864508E-01    0.5836103421E+00
        55    0.9424559028E+00    0.9574760240E+00    0.9054341812E-01    0.3553341166E-01    0.1280274710E+01
        56    0.8499727646E+00    0.7925774475E+00    0.2464111924E+00    0.7095627206E-01    0.5439654821E+00
        57    0.9104458988E+00    0.9795479345E+00    0.9273419871E-01    0.2725216363E-02    0.1152542054E+01
        58    0.3214587075E+00    0.3569051040E+00    0.1009190034E+01    0.5165292202E-01    0.3867159255E+00
        59    0.8391003218E+00    0.8923492045E+00    0.1064633004E+00    0.1872978125E-01    0.0000000000E+00
        60    0.9416069557E+00    0.9165358597E+00    0.1540133646E+00    0.3652472663E-01    0.1226421962E+01
        61    0.7517277088E+00    0.8379248147E+00    0.3036607336E+00    0.3137380039E-01    0.1295825349E+01
        62    0.9385941983E+00    0.8927013514E+00    0.1357984103E+00    0.3293698899E-01    0.5493157464E+00
        63    0.1724954183E+00    0.1700174550E+00    0.1335319190E+01    0.4105697448E-01    0.2694831411E+00
        64    0.9445858481E+00    0.9484916667E+00    0.9075144906E-01    0.0000000000E+00    0.5300063104E+00
