Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius
Cs,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,1.71,2.6,,301.59,944,1879,70.94,2.09,65,36,0.242,s,8,,1.6,1.7,,1.81,0
Cu,29,63.546,11,7.72638,20.2924,118.4,1.9,1.85,1.96,132,1.35,0.88,1.16,0.185,1357.77,3200,8920,7.11,13.6,300,400,0.385,d,72,0.34,140,130,0.0000165,0.82,0
Dy,66,162.5,3,5.9389,11.67,50,1.22,1.76,2.31,192,1.75,,,,1680,2840,8551,19.01,11.35,280,11,0.173,f,24,0.25,41,61,0.0000099,1.131,0
Er,68,167.259,3,6.1077,11.93,50,1.24,1.854,2.29,189,1.75,,,,1802,3141,9066,18.46,19.9,285,15,0.168,f,22,0.24,44,70,0.0000122,1.03,0
Eu,63,151.964,3,5.67038,11.25,50,1.2,1.68,2.35,198,1.85,,,,1099,1800,5244,28.97,9.21,175,14,0.182,f,18,0.15,8.3,18,0.000035,1.1985,0
F,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,0.25,0.155,,53.53,85.03,1696,11.2,0.255,3.27,0.0277,0.824,p,102,,,,,0.22,1.19
Fe,26,55.845,8,7.9024,16.1877,15.7,1.83,1.8,2.04,132,1.4,0.95,1.16,0.22,1811,3134,7874,7.09,13.81,347,80,0.449,d,61,0.29,170,211,0.0000118,0.8525,0
Ga,31,69.723,13,5.999301,20.51515,28.9,1.81,1.756,1.87,122,1.3,0.76,0.935,0.17,302.91,2477,5904,11.8,5.585,256,29,0.373,p,81,,,,0.00012,0.76,0
Gd,64,157.25,3,6.1498,12.09,50,1.2,1.72,2.34,196,1.8,,,,1585,3523,7901,19.9,9.67,305,11,0.235,f,27,0.26,38,55,0.0000094,1.075,0
Ge,32,72.64,14,7.89943,15.93461,119,2.01,1.994,2.11,120,1.25,0.72,0.84,0.16,1211.4,3093,5323,13.63,36.94,334,60,0.32,p,84,,,,0.000006,0.77,0
H,1,1.00794,1,13.598443,1000,72.8,2.2,2.3,1.1,31,0.25,,,,14.01,20.28,89.9,11.42,0.06,0.452,0.1805,14.304,s,103,,,,,0,0
Hf,72,178.49,4,6.82507,15,0,1.3,2.6,2.23,175,1.55,1.3,1.61,0.63,2506,4876,13310,13.44,27.2,630,23,0.144,d,50,0.37,110,78,0.0000059,0.85,0
Hg,80,200.59,12,10.4375,18.7568,0,2,,2.23,132,1.5,1.07,1.34,0.475,234.32,629.88,13534,14.09,2.295,59.2,8.3,0.14,d,74,,25,,,1.245,0
