Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius,Energy
Ge,32.0,72.64,14.0,7.89943,15.93461,119.0,2.01,1.994,2.11,120.0,1.25,0.72,0.84,0.16,1211.4,3093.0,5323.0,13.63,36.94,334.0,60.0,0.32,2,84.0,,,,6e-06,0.77,0.0,-0.15514636
H,1.0,1.00794,1.0,13.598443,,72.8,2.2,2.3,1.1,31.0,0.25,,,,14.01,20.28,,11.42,0.06,0.452,0.1805,14.304,1,103.0,,,,,0.0,0.0,-0.05660654
Hf,72.0,178.49,4.0,6.82507,15.0,0.0,1.3,2.6,2.23,175.0,1.55,1.3,1.61,0.63,2506.0,4876.0,13310.0,13.44,27.2,630.0,23.0,0.144,3,50.0,0.37,110.0,78.0,5.9e-06,0.85,0.0,-2.8000584
Hg,80.0,200.59,12.0,10.4375,18.7568,0.0,2.0,,2.23,132.0,1.5,1.07,1.34,0.475,234.32,629.88,,14.09,2.295,59.2,8.3,0.14,3,74.0,,25.0,,,1.245,0.0,
Ho,67.0,164.93032,3.0,6.0215,11.8,50.0,1.23,1.789,2.3,192.0,1.75,,,,1734.0,2993.0,8795.0,18.74,11.76,265.0,16.0,0.165,4,23.0,0.23,40.0,65.0,1.12e-05,1.041,0.0,
I,53.0,126.90447,17.0,10.45126,19.1313,295.2,2.66,2.359,1.98,139.0,1.4,0.755,0.83,0.315,386.85,457.4,4940.0,25.72,7.76,20.9,0.449,0.214,2,97.0,,7.7,,,0.88,2.06,-0.11761517
In,49.0,114.818,13.0,5.78636,18.8703,28.9,1.78,1.656,1.93,142.0,1.55,0.94,1.11,0.36,429.75,2345.0,7310.0,15.76,3.291,230.0,82.0,0.233,2,79.0,,,11.0,3.21e-05,0.94,0.0,-0.09459929
Ir,77.0,192.217,9.0,8.96702,,151.0,2.2,,2.13,141.0,1.35,1.16,1.468,0.526,2739.0,4701.0,22650.0,8.52,41.12,560.0,150.0,0.131,3,66.0,0.26,320.0,528.0,6.4e-06,0.765,0.0,
K,19.0,39.0983,1.0,4.3406633,31.63,48.4,0.82,0.734,2.75,203.0,2.2,1.54,2.15,0.37,336.53,1032.0,856.0,45.94,2.335,76.9,100.0,0.757,1,10.0,,3.1,,,1.52,0.0,-0.17359831
La,57.0,138.90547,3.0,5.5769,11.059,48.0,1.1,1.09,2.43,207.0,1.95,1.375,1.705,0.874,1193.0,3743.0,6146.0,22.39,6.2,400.0,13.0,0.195,4,33.0,0.28,28.0,37.0,1.21e-05,1.172,0.0,-0.40142086
Li,3.0,6.941,1.0,5.391719,75.64,59.6,0.98,0.912,1.82,128.0,1.45,0.985,0.625,,453.69,1615.0,535.0,13.02,3.0,147.0,85.0,3.582,1,12.0,,11.0,4.9,4.6e-05,0.9,0.0,-0.08561193
