Name,mean_A2B,X_EA,X_Z,X_IEII,X_Rvdw,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,std_A2X,A_ChiP,A_EA,B_Hf,std_B2X,X_G,B_MP,X_Kappa,A_MP,B_Kappa,B_Z,OF,A_Kappa,A_Z,B_Ra,B_Rho,A_CvM,X_MV,A_G,B_EA,A_B,std_X2X,B_CvM,B_ChiP,TF,std_A2B,X_IEI,B_IEI,B_MV
CsIO3,4.033309574815747,141.0,8.0,35.1211,1.52,3.4525092470550085,3.43,3.3683444391900275,3.893905,-21.228439,0.659,0.0680978774252657,0.79,45.5,7.76,0.5662963260789745,16.0,386.85,0.02658,301.59,0.449,53.0,0.7037037037037036,36.0,55.0,1.4,4940.0,0.242,17.36,1.0,295.2,1.0,0.732340487260683,0.214,2.66,0.9930238709706734,0.0185348995146854,13.61805,10.45126,25.72
CsMgBr3,4.806421455148913,324.6,35.0,21.591,1.85,3.809850260543645,3.43,3.994009247317917,3.893905,-15.03194265,0.659,0.083602942409952,0.79,45.5,8.48,2.5024634545442466e-06,17.0,923.0,0.12,301.59,160.0,12.0,0.3673469387755102,36.0,55.0,1.5,1738.0,0.242,19.78,1.0,0.0,1.0,0.12342452209855,1.023,1.31,1.0131679252822174,0.0,11.8138,7.646235,14.0
CsMgCl3,4.580961886738943,349.0,17.0,23.8136,1.75,3.560306049251121,3.43,3.8181713613482464,3.893905,-17.115412605000003,0.659,0.0855621477984786,0.79,45.5,8.48,1.3272178341928756e-08,17.0,923.0,0.0089,301.59,160.0,12.0,0.3977900552486187,36.0,55.0,1.5,1738.0,0.242,17.39,1.0,0.0,1.0,0.1412615091004032,1.023,1.31,1.0313138429163478,0.0,12.96763,7.646235,14.0
CsPbF3,4.195163952205908,328.0,9.0,34.9708,1.47,3.674980157522368,3.43,3.3311885259530687,3.893905,-21.927125955,0.659,0.1660050171068173,0.79,45.5,4.774,0.0197108573509931,17.0,600.61,0.0277,301.59,35.0,82.0,0.926070038910506,36.0,55.0,1.8,11340.0,0.242,11.2,1.0,35.1,1.0,0.4278572510141344,0.13,2.33,0.90423958079007,0.0355986530207427,17.4228,7.41663,18.26
CsReO3,3.515515108044428,141.0,8.0,35.1211,1.52,2.8704060659180404,3.43,2.8704060659180404,3.893905,-32.94121740999999,0.659,2.0934566115783667e-16,0.79,45.5,34.08,2.0934566115783667e-16,16.0,3459.0,0.02658,301.59,48.0,75.0,0.4296296296296296,36.0,55.0,1.35,21020.0,0.242,17.36,1.0,14.5,1.0,2.0934566115783667e-16,0.137,1.9,1.1833963229184188,0.0,13.61805,7.83352,8.86
CsSbO3,3.635306134275527,141.0,8.0,35.1211,1.52,2.968215029261557,3.43,2.968215029261557,3.893905,-24.95276488,0.659,0.0,0.79,45.5,19.79,0.0,16.0,903.78,0.02658,301.59,24.0,51.0,0.4444444444444444,36.0,55.0,1.45,6697.0,0.242,17.36,1.0,103.2,1.0,0.0,0.207,2.05,1.17125892473464,0.0,13.61805,8.60839,18.19
CsSnS3,4.486019805156989,200.0,16.0,23.33788,1.8,3.6226117587417854,3.43,3.65470353069895,3.893905,-19.943452019999995,0.659,0.0490399613145635,0.79,45.5,7.15,0.4388336284643441,16.0,505.08,0.205,301.59,67.0,50.0,0.3749999999999999,36.0,55.0,1.45,7310.0,0.242,15.53,1.0,107.3,1.0,0.508901621741368,0.227,1.96,1.0396985083059116,0.0020792929865005,10.36001,7.34392,16.29
CsSrBr3,5.104788320138425,324.6,35.0,21.591,1.85,4.39464884398747,3.43,4.002324604601324,3.893905,-16.896982307499997,0.659,0.4374860581182996,0.79,45.5,7.43,0.0275706761517663,17.0,1050.0,0.12,301.59,35.0,38.0,0.6020408163265306,36.0,55.0,2.0,2630.0,0.242,19.78,1.0,5.03,1.0,0.1539594740863654,0.306,0.95,0.8647420508778161,0.1974591055805649,11.8138,5.69485,33.94
CsWO3,3.53249568001238,141.0,8.0,35.1211,1.52,2.8842706448720707,3.43,2.8842706448720707,3.893905,-35.20402222,0.659,0.0,0.79,45.5,52.31,0.0,16.0,3695.0,0.02658,301.59,170.0,74.0,0.4592592592592592,36.0,55.0,1.35,19250.0,0.242,17.36,1.0,78.6,1.0,0.0,0.132,2.36,1.1593679711840346,0.0,13.61805,7.86403,9.47
InBO3,3.537897459836623,141.0,8.0,35.1211,1.52,2.9400862479276832,1.93,3.198103717288959,5.78636,-33.7007496133333,1.656,0.9871424303066916,1.78,28.9,50.2,0.8435092219657662,16.0,2349.0,0.02658,429.75,27.0,5.0,0.2,82.0,49.0,0.85,2460.0,0.233,17.36,13.0,26.7,2.0,0.318474429925951,1.026,2.04,0.9908224649959648,0.4110009730663779,13.61805,8.29802,4.39
