Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius,Energy
Re,75,186.207,7,7.83352,13.0,14.5,1.9,,2.16,151,1.35,1.19,1.49,0.565,3459.0,5869.0,21020.0,8.86,34.08,705.0,48.0,0.137,3,58,0.3,370.0,463.0,6.2E-06,0.7125,0.0,-1.58862075
Rh,45,102.9055,9,7.4589,18.08,109.7,2.28,1.56,2.1,142,1.35,1.11,1.41,0.42,2237.0,3968.0,12450.0,8.28,26.59,495.0,150.0,0.243,3,65,0.26,380.0,275.0,8.2E-06,0.745,0.0,-0.97790077
Ru,44,101.07,8,7.3605,16.76,101.3,2.2,1.54,2.13,146,1.3,1.145,1.46,0.45,2607.0,4423.0,12370.0,8.17,38.59,580.0,120.0,0.238,3,62,0.3,220.0,447.0,6.4E-06,0.661,0.0,-0.5656552
S,16,32.065,16,10.36001,23.33788,200,2.58,2.589,1.8,105,1.0,0.54,0.56,,388.36,717.87,1960.0,15.53,1.721,9.8,0.205,0.708,2,94,,7.7,,,0.47,1.7,-0.09225465
Sb,51,121.76,15,8.60839,16.63,103.2,2.05,1.984,2.06,139,1.45,0.83,0.935,0.335,903.78,1860.0,6697.0,18.19,19.79,68.0,24.0,0.207,2,88,,42.0,55.0,1.1E-05,0.83,0.0,-0.08840973
Sc,21,44.955912,3,6.56149,12.79977,18.1,1.36,1.19,2.15,170,1.6,1.22,1.53,0.31,1814.0,3103.0,2985.0,15.0,14.1,318.0,16.0,0.568,3,19,0.28,57.0,74.0,1.02E-05,0.885,0.0,-1.79895583
Se,34,78.96,16,9.75239,21.19,195,2.55,2.424,1.9,120,1.15,0.615,0.67,0.15,494.0,958.0,4819.0,16.42,6.69,26.0,0.52,0.321,2,93,0.33,8.3,10.0,,0.6,1.84,-0.08959253
Si,14,28.0855,14,8.15168,16.34584,133.6,1.9,1.916,2.1,111,1.1,0.68,0.74,,1687.0,3173.0,2330.0,12.06,50.21,359.0,150.0,0.712,2,85,,100.0,47.0,2.6E-06,0.54,0.0,-0.08367818
Sm,62,150.36,3,5.6437,11.07,50,1.17,1.65,2.36,198,1.85,,,,1345.0,2076.0,7353.0,19.98,8.62,175.0,13.0,0.196,4,28,0.27,38.0,50.0,1.27E-05,1.229,0.0,-0.10309677
Sn,50,118.71,14,7.34392,14.6322,107.3,1.96,1.824,2.17,139,1.45,0.88,1.0,0.345,505.08,2875.0,7310.0,16.29,7.15,290.0,67.0,0.227,2,83,0.36,58.0,50.0,2.2E-05,0.83,0.0,-0.09149173
