material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,nsites,density_MP,s_A,s_B,s_X
mp-1264966,AlFeO3,Al,Fe,O,P-1,0.236047591999992,-137.58539199,20,4.39848189406428,0.535,0.55,1.42
mp-756686,AlGaO3,Al,Ga,O,Pnma,0.107533476999999,-133.01149829,20,5.26875060486634,0.535,0.62,1.42
mp-772187,AlGaO3,Al,Ga,O,Pna2_1,0.0287432352499994,-269.18789326,40,4.87110740122886,0.535,0.62,1.42
mp-772898,AlGaO3,Al,Ga,O,Pna2_1,0.0276705999999995,-269.2196553,40,4.81593018792068,0.535,0.62,1.42
mp-1178550,AlInO3,Al,In,O,Pnma,0.0630337659999958,-130.0900272,20,6.21226477449055,0.535,0.92,1.42
mp-1183160,AlInO3,Al,In,O,Pm-3m,0.467804547499997,-30.49931541,5,6.14859936813073,0.535,0.92,1.42
mp-754157,AlInO3,Al,In,O,P6_3/mmc,0.0346600674999964,-65.32906714,10,5.61381545477363,0.535,0.92,1.42
mp-504482,AlInS3,Al,In,S,P6_1,0.0,-137.89377581,30,3.24313544538805,0.535,0.92,1.84
mp-862787,AlInSe3,Al,In,Se,P6_1,0.0,-122.70831051,30,4.5334506686425,0.535,0.92,1.98
mp-1183133,AlIrO3,Al,Ir,O,Pm-3m,1.08264807004545,-31.36678402,5,9.01951132834798,0.535,0.68,1.42
mp-1246835,AlMoN3,Al,Mo,N,P-1,0.203797401733334,-167.11865359,20,3.68322107955182,0.535,0.59,1.46
mp-1433892,AlMoO3,Al,Mo,O,Pm-3m,1.21977742975,-31.1880985,5,4.40908911495914,0.535,0.69,1.42
mp-1389151,AlMoO3,Al,Mo,O,P6_3/mmc,0.580191703750002,-66.78225216,10,4.96285309261861,0.535,0.69,1.42
mp-1248370,AlMoO3,Al,Mo,O,P6_3cm,0.463632203750001,-209.79878526,30,5.30938787182986,0.535,0.69,1.42
mp-1373731,AlMoO3,Al,Mo,O,Pnma,0.176259155250001,-142.92578452,20,5.10115376980297,0.535,0.69,1.42
mp-1416557,AlNiO3,Al,Ni,O,Pm-3m,1.36156986597727,-24.24002608,5,4.529178568322,0.535,0.56,1.42
mp-1400395,AlNiO3,Al,Ni,O,P6_3/mmc,0.420411245977272,-57.89163836,10,4.74978263864985,0.535,0.56,1.42
mp-1333178,AlNiO3,Al,Ni,O,P6_3cm,0.40988360264394,-173.99074438,30,4.76267137991023,0.535,0.56,1.42
mp-1376903,AlNiO3,Al,Ni,O,Pnma,0.242979411477274,-116.49232237,20,4.97964360968413,0.535,0.56,1.42
mp-1183176,AlNiO3,Al,Ni,O,Pm-3m,0.869599869977272,-26.61162424,5,4.53534977771523,0.535,0.56,1.42
mp-1183154,AlPbO3,Al,Pb,O,Pm-3m,0.256270870590908,-31.1949079,5,8.31104133801127,0.535,1.19,1.42
mp-776116,AlPdO3,Al,Pd,O,C2/c,0.193575573272732,-125.46022977,20,5.24105683237379,0.535,0.76,1.42
mp-1178574,AlPdO3,Al,Pd,O,P6_3/mmc,0.154439158272734,-63.12428395,10,5.65528578547617,0.535,0.76,1.42
mp-1178547,AlRhO3,Al,Rh,O,P6_3/mmc,0.0432350841363585,-69.98803657,10,5.77915186157785,0.535,0.665,1.42
mp-1371447,AlSbO3,Al,Sb,O,Pnma,0.339868097500005,-127.61536349,20,5.03988384706921,0.535,0.76,1.42
mp-1374707,AlSbO3,Al,Sb,O,P6_3cm,0.406103865000004,-189.43597221,30,5.35563792953424,0.535,0.76,1.42
mp-1261047,AlSbO3,Al,Sb,O,P2_1,0.061852403500005,-133.14922839,20,4.02379023960873,0.535,0.76,1.42
mp-1183134,AlSbO3,Al,Sb,O,Pm-3m,0.319599526000005,-32.00448998,5,6.17550721143649,0.535,0.76,1.42
mp-1384267,AlSbO3,Al,Sb,O,P6_3/mmc,0.802027764000004,-59.18608508,10,4.80311731947172,0.535,0.76,1.42
mp-1421511,AlSbO3,Al,Sb,O,Pm-3m,1.318511898,-27.01062187,5,4.91147182816696,0.535,0.76,1.42
mp-1079481,AlSBr3,Al,S,Br,P-3m1,0.361060012875001,-29.90714662,10,2.6114852031493,0.535,1.84,1.96
mp-1183132,AlSiO3,Al,Si,O,Pm-3m,1.03579189274999,-32.72642209,5,3.79638832591093,0.535,0.4,1.42
mp-1406914,AlSnO3,Al,Sn,O,P6_3/mmc,0.658372996125003,-61.21294612,10,5.0562497047465,0.535,0.81,1.42
mp-1248301,AlSnO3,Al,Sn,O,P6_3cm,0.429956209458337,-190.47970412,30,5.42160168191102,0.535,0.81,1.42
mp-1340379,AlSnO3,Al,Sn,O,P2_1/c,0.235436242125004,-130.88435652,20,5.02742868072243,0.535,0.81,1.42
mp-1426094,AlSnO3,Al,Sn,O,Pm-3m,1.318630856125,-27.30519452,5,4.89013113404812,0.535,0.81,1.42
mp-768539,AlTlO3,Al,Tl,O,Pnma,0.0889291161363639,-119.36130067,20,8.65945853900118,0.535,0.885,1.42
mp-765647,AlVO3,Al,V,O,Cm,0.0887325961250003,-323.23251724,40,4.01397910208228,0.535,0.64,1.42
mp-1395974,AlVO3,Al,V,O,Pm-3m,1.228573627625,-32.67224353,5,3.74232054572579,0.535,0.64,1.42
mp-1248251,AlVO3,Al,V,O,Pnma,0.151617486125,-152.0969393,20,4.1898472774668,0.535,0.64,1.42
mp-1178549,AlVO3,Al,V,O,R-3,0.0198158706250009,-77.30060184,20,4.29109098840547,0.535,0.64,1.42
