Name Coef_b density E_coh TF OF B_Hf mean_A2B mean_A2X mean_B2X mean_X2X std_A2B std_A2X std_B2X std_X2X A_Rvdw B_Ra X_Ra A_Z B_Z X_Z A_G B_G A_EA B_EA X_EA B_MP A_BP A_Kappa B_Kappa X_Kappa A_CvM B_CvM A_B B_B B_MV X_MV A_Rho B_Rho A_ChiP B_ChiP A_ChiA X_ChiA s_A s_B s_X A_IEI B_IEI X_IEI A_IEII B_IEII X_IEII 0
LiSbO3 0.818920997133991 0.32127651489106 0.802183155627057 0.251812238592452 0.352625670450294 0.146765734265734 0.217586473391345 0.488857056823455 0.687378365606533 0.231193654047479 0.00207669564747835 0.716472258890623 0.738634841095758 0.577958700356378 0.0529411764705883 0.576923076923077 0.304347826086956 0 0.6 0.134615384615385 0 0.875 1 0.317929759704251 0.391812865497076 0.180516099824571 0.136243654822335 0.324324324324324 0.0746529948730774 0.0345920563490511 1 0.0245664739884393 0 0.5 0.467005076142132 0.424242424242424 0 0.300805467415182 0.171171171171171 0.54726368159204 0.253761283851555 0.69202324352879 0.157894736842105 0.372881355932203 0.0710382513661203 0.293693914506418 0.500876740732482 0.503970452687666 1 0.0866724758899178 0.197725448783027 11
TlCrO3 0.61274307168728 0.722623615046121 0.76666315359448 0.615956879891064 0.26446925283772 0.157342657342657 0.0953813739123257 0.450071604236265 0.644357624243253 0.203584590264779 0.0518563656972698 0.663547965246177 0.675934323717005 0.633444086308889 0.135294117647059 0.538461538461538 0.304347826086956 1 0.2625 0.134615384615385 1 0.3125 0.322147651006711 0.198089956869994 0.391812865497076 0.541621866334673 0.162842639593909 0.148648648648649 0.293485056896336 0.0345920563490511 0 0.0945086705202312 0.333333333333333 1 0.0961082910321489 0.424242424242424 0.55235538198682 0.32243104710764 0.747747747747748 0.353233830845771  0.69202324352879 0.842105263157895 0.279661016949152 0.0710382513661203 0.434181550084658 0.214072510141183 0.503970452687666 0.15882203364395 0.0844390720307569 0.197725448783027 12
NaBiO3 0.606116336697376 0.460767808623424 0.841885375197816 0.351038121963652 0.480853186977674 0.0708566433566433 0.404355971259265 0.632776253740546 0.874425576567495 0.245430897109505 0.418831639054426 0.837807233849192 0.846348080903526 0.299159654544988 0.317647058823529 0.692307692307693 0.304347826086956 0.102564102564103 1 0.134615384615385 0 0.875 0.885906040268456 0.280961182994455 0.391812865497076 0.0788297210118273 0.0430456852791878 0.572072072072072 0.0246342378391897 0.0345920563490511 0.318273964668404 0 0 0.5 0.57258883248731 0.424242424242424 0.0211374176226507 0.451305833536734 0.126126126126126 0.532338308457711 0.210631895687061 0.69202324352879 0.570175438596491 0.508474576271186 0.0710382513661203 0.244155245724684 0.294885878891904 0.503970452687666 0.568018670193584 0.0878023336980865 0.197725448783027 13
CsAuI3 0.0241875841793391 0.365087775230776 0.998960246234239 0.302375572859752 0.417650135507503 0.083479020979021 1 1 0.674977481215335 0.874824544629994 3.97606837597822E-16 0.0255637854363674 0.261589120408494 0.28532703080562 1 0.5 1 0.666666666666667 0.95 1 0 0.625 0.763422818791946 0.686383240911892 0.842690058479532 0.303188840473091 0 0.103603603603604 1 0.861083936607318 0.0327251665218651 0.00202312138728324 0 1 0.196954314720812 1 0.0656089821820845 0.916036123993166 0 0.791044776119403 0 0.0311674590596938 1 0.805084745762712 1 0 0.596973317527449 0.0911124698679733 0.20040185160103 0.141927165960635 0 14
KNbO3 0.647433997890889 0.282070878909733 0.701024046867357 0.501515696593518 0.384682549582139 0.236013986013986 0.213956319262653 0.400133991908233 0.551270727177058 0.213109948908442 0.0475730491243592 0.0662586561730337 0.757863059747892 0.564682716948589 0.6 0.576923076923077 0.304347826086956 0.205128205128205 0.475 0.134615384615385 0 0.25 0.812080536912752 0.265249537892791 0.391812865497076 0.702903061513214 0.0178680203045685 0.391891891891892 0.168438164311617 0.0345920563490511 0.181870836953374 0.0413294797687861 0 1 0.217935702199662 0.424242424242424 0.0156700024408104 0.392238223090066 0.0270270270270269 0.323383084577114 0.0752256770310933 0.69202324352879 0.789473684210526 0.406779661016949 0.0710382513661203 0.0876011266854447 0.212879750348835 0.503970452687666 0.329485556515561 0.045966639787401 0.197725448783027 15
CsAuSe3 0.178086517309968 0.389132779317052 0.944846823594624 0.314596616732739 0.478303207955823 0.083479020979021 0.544171112754622 0.897554571867128 0.674577533213681 0.548432059096114 0.30085451972822 0.311133612497953 0.346715734719007 0.864115601565488 1 0.5 0.782608695652174 0.666666666666667 0.95 0.634615384615385 0 0.625 0.763422818791946 0.686383240911892 0.549707602339181 0.303188840473091 0 0.103603603603604 1 1 0.0327251665218651 0.00202312138728324 0 1 0.196954314720812 0.359504132231405 0.0656089821820845 0.916036123993166 0 0.791044776119403 0 0.0655044902271527 1 0.805084745762712 0.759562841530054 0 0.596973317527449 0 0.20040185160103 0.141927165960635 0.0254573153766537 16
CsReO3 0.618816348208063 0.757008939747729 0.752536616356931 0.627738073612697 0.336597230884372 0.271678321678322 0.226171211220094 0.39795227987289 0.1067996483248 0.0357344524800547 0 1.75818320309302E-16 1.43253835324729E-16 2.27656745417215E-16 1 0.5 0.304347826086956 0.666666666666667 0.9 0.134615384615385 0 0.375 0.763422818791946 0.0446703635243376 0.391812865497076 0.903514232358101 0 0.103603603603604 0.149681130423909 0.0345920563490511 0.0327251665218651 0.00433526011560694 0 1 0.151269035532995 0.424242424242424 0.0656089821820845 1 0 0.472636815920398 0 0.69202324352879 1 0.35593220338983 0.0710382513661203 0 0.38021958925775 0.503970452687666 0.20040185160103 0.0304891355659118 0.197725448783027 17
CsMgBr3 0.128589207492139 0.211158872832497 0.959736223279726 0.450103139442271 0.269212362505187 0.0479020979020979 0.798868409254375 0.864253148024103 0.482634849855624 0.605501521057946 0 0.0702136783066678 1.7124189994707E-06 0.134220240583091 1 0.615384615384615 0.782608695652174 0.666666666666667 0.1125 0.653846153846154 0 0.0625 0.763422818791946 0 0.928654970760234 0.185954388546206 0 0.103603603603604 0.499812429661123 0.217374290745451 0.0327251665218651 0.260404624277457 0 0 0.325211505922166 0.590909090909091 0.0656089821820845 0.0587258969978033 0 0.17910447761194 0 0.20338087691495 1 0.474576271186441 0.737704918032787 0 0.351056923760382 0.26874834591632 0.20040185160103 0.0619900355827822 0.0304159705794702 18
CsSbO3 0.447559351684119 0.52035255497114 0.844958238467184 0.615072584438654 0.352625670450294 0.146765734265734 0.279315256275014 0.438543482599133 0.145846149214691 0.0950549811965995 0 0 0 0 1 0.576923076923077 0.304347826086956 0.666666666666667 0.6 0.134615384615385 0 0.875 0.763422818791946 0.317929759704251 0.391812865497076 0.180516099824571 0 0.103603603603604 0.0746529948730774 0.0345920563490511 0.0327251665218651 0.0245664739884393 0 0.5 0.467005076142132 0.424242424242424 0.0656089821820845 0.300805467415182 0 0.54726368159204 0 0.69202324352879 1 0.372881355932203 0.0710382513661203 0 0.500876740732482 0.503970452687666 0.20040185160103 0.0866724758899178 0.197725448783027 19
CaSnO3 0.68286936963937 0.332882077028388 0.771019111702735 0.365831915160906 0.424753648496945 0.0362762237762238 0.356031996861213 0.588463689027721 0.812808577445344 0.185640178817593 0.401200872641892 0.809755411756803 0.803884858497849 0.269699135058285 0.341176470588235 0.576923076923077 0.304347826086956 0.217948717948718 0.5875 0.134615384615385 0.0833333333333333 0.8125 0.0397651006711409 0.330560690080098 0.391812865497076 0.0677041480391602 0.16507614213198 0.842342342342342 0.209078404401651 0.0345920563490511 0.150014480162178 0.0303468208092486 0 0.5 0.402707275803723 0.424242424242424 0.0495484500854284 0.330729802294362 0.189189189189189 0.502487562189055 0.376128385155466 0.69202324352879 0.526315789473684 0.449152542372881 0.0710382513661203 0.435155291803883 0.303982618718138 0.503970452687666 0.0284582418504919 0.0557515179562265 0.197725448783027 20
