     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6
        12    0.3604263711E+00    0.3605607306E+00    0.8018783390E+00    0.2358983634E+00    0.4452871929E+00    0.2543235983E+00    0.2104629600E-01    0.3271638451E+00
        13    0.3534103400E+00    0.3710929376E+00    0.6780984612E+00    0.7255554720E+00    0.3233430507E+00   -0.1708440172E+01    0.0000000000E+00    0.3236700420E+00
        14    0.0000000000E+00   -0.1618758607E-01    0.2870338383E+00    0.1805084746E+01    0.1113806405E-04    0.5373212784E+00    0.6636746753E-04    0.2360253350E+00
        15    0.4005160987E+00    0.3662398616E+00    0.7668817512E+00    0.8046615200E+00    0.2800336878E+00    0.2720909966E+01    0.1494537805E-04    0.4917383955E+00
        16    0.4170447350E-01    0.4357146748E-01    0.4499568230E+00    0.1663460474E+01    0.1033995698E-03    0.3495727401E+00    0.6636746753E-04    0.6686330591E-01
        17    0.3601477045E+00    0.3454177525E+00    0.8402217939E+00    0.9120697318E+00    0.2853358603E+00    0.5426725491E+01    0.1422160018E-03    0.6020477201E+00
        18    0.5156971410E-01    0.5769495011E-01    0.2826084721E+00    0.1358883204E+01    0.5103458252E-02    0.1394337028E+01    0.6571108598E-02    0.2059588179E+00
        19    0.2331452547E+00    0.2885607311E+00    0.7668817512E+00    0.9234706034E+00    0.3075676549E+00    0.9153732721E+01    0.6819074960E-03    0.5614565174E+00
        20    0.4158897917E+00    0.3980010988E+00    0.7668817512E+00    0.6561501656E+00    0.2688812062E+00   -0.2463343397E+00    0.3544775406E-03    0.2414166652E+00
        21    0.6608317918E+00    0.6280036080E+00    0.1104225909E+01    0.2253172265E+00    0.2074307123E+00   -0.1572829146E+00    0.3081216472E-02    0.5324367128E+00
        22    0.1869803631E+00    0.2332107495E+00    0.5452762913E+00    0.7702461746E+00    0.6874504415E+00    0.1457906785E+01    0.1204688049E-03    0.1807589251E+00
        23    0.4004111965E+00    0.4043337367E+00    0.8402217939E+00    0.4712860319E+00    0.3009101974E+00    0.2220414244E+01    0.3117768311E-02    0.4477881562E-01
