     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6
        24    0.4646119970E+00    0.4419680261E+00    0.4323435974E+00    0.1502403846E-03    0.1415430424E+00    0.2196332812E+00    0.1882423775E-01    0.0000000000E+00
        25    0.4396619002E+00    0.4445259852E+00    0.2867585085E+00   -0.3589192082E-01   -0.1284835568E-01    0.1129807746E+01    0.2550642593E-01   -0.2074019566E-02
        26    0.3541765893E+00    0.4193723391E+00    0.1726227968E+00    0.4637920673E+00    0.7360685342E-01    0.9635160438E-01    0.0000000000E+00   -0.1196502377E-01
        27    0.0000000000E+00    0.6846880156E-01    0.3728726318E+00    0.2873569871E+00   -0.4099017513E+01    0.5208856050E+00    0.6527963489E-02   -0.1762129722E-01
        28    0.7734600107E-01    0.8229012445E-01    0.6928950677E+00    0.1028232073E+00    0.4378562649E+00    0.9140642538E+00    0.5279036505E-02   -0.2087881655E-01
        29    0.6337399507E+00    0.6196374246E+00    0.1004030553E+00   -0.1226166200E+00   -0.1501322703E+00    0.8494838459E+00    0.6527963489E-02    0.1364057034E-01
        30    0.7833527589E+00    0.8645228603E+00    0.0000000000E+00    0.2065805288E-03    0.5697246245E+00    0.1748176649E-01    0.2185550309E-01   -0.2220951311E-04
        31    0.1000000000E+01    0.9873047275E+00    0.0000000000E+00    0.0000000000E+00    0.3859268531E+01    0.7745186355E-01    0.0000000000E+00    0.2222119958E-02
        32    0.9030349124E+00    0.8897137219E+00    0.3170622799E-01   -0.3010769869E+00   -0.3043655450E-01    0.4915637332E+00    0.3043416037E-01    0.6801051849E-02
        33    0.1581868218E+00    0.1240751184E+00    0.6751063812E+00    0.1161048318E+00    0.0000000000E+00    0.6231979770E+00    0.5279036505E-02   -0.2814556614E-01
        34    0.4062673064E+00    0.4629573060E+00    0.2867585085E+00   -0.1091917360E-01   -0.1549636569E-01    0.8687561463E+00    0.2187760063E-01    0.0000000000E+00
        35    0.6678368555E+00    0.7132314642E+00    0.0000000000E+00   -0.1124830980E+00   -0.5437857140E-01    0.9098502622E+00    0.5794349863E-02    0.0000000000E+00
        36    0.8085237899E+00    0.7563080796E+00    0.2642185666E-01   -0.1468015972E-02   -0.1270915454E-01    0.4114861685E+00    0.2560865968E-01   -0.1432265407E-03
