material_id,Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
mp-1183152,AcScO3,3.5723873877275247,35.1211,8.0,2.916842087828855,2.916842087828855,1.52,2.47,141.0,-40.14816712,0.02658,16.0,5.17,,13.61805,18.1,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.36,0.0,21.0,1814.0,0.12,33.77,2985.0,6.56149,14.1,7.569208014359118,4.0,0.6126760563380282,3.0,0.7843018446348605,1429.0,15.0,0.0,0.568
mp-1183150,AcSiO3,3.4382582560101618,35.1211,8.0,2.807326110378823,2.807326110378823,1.52,2.47,141.0,-36.1543926,0.02658,150.0,5.17,,13.61805,133.6,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.9,0.0,14.0,1687.0,0.12,33.77,2330.0,8.15168,50.21,8.04234830394653,4.0,0.2816901408450704,3.0,0.9868413319856212,1429.0,12.06,0.0,0.712
mp-865927,AcTiO3,3.476924377298949,35.1211,8.0,2.8388968662088545,2.8388968662088545,1.52,2.47,141.0,-41.12338005,0.02658,22.0,5.17,,13.61805,7.6,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.54,0.0,22.0,1941.0,0.12,33.77,4507.0,6.82812,14.15,8.284644726287514,4.0,0.471830985915493,3.0,0.8593546527338903,1429.0,10.64,0.0,0.524
mp-1183168,AcVO3,3.470679805153308,35.1211,8.0,2.8337981944025823,2.8337981944025823,1.52,2.47,141.0,-38.66000943,0.02658,31.0,5.17,,13.61805,50.6,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.63,0.0,23.0,2183.0,0.12,33.77,6110.0,6.74619,21.5,8.408710414470583,4.0,0.4507042253521127,3.0,0.8718695263173936,1429.0,8.32,0.0,0.489
mp-558950,AgAsO3,4.289092909955594,35.1211,8.0,3.7521694806187487,3.776634894827807,1.52,2.11,141.0,-635.55819381,0.02658,50.0,7.57623,1.87,13.61805,78.0,17.36,3.44,0.8895478100741403,47.0,1.93,430.0,1234.93,2.18,1.1185598634904952,33.0,1090.0,0.235,125.6,5727.0,9.7886,24.44,5.320519357905622,3.0,0.323943661971831,11.0,1.0155256963849353,1429.0,12.95,0.8459386699315671,0.329
mp-1178563,AgAsO3,3.578134586952932,35.1211,8.0,2.696701752080064,2.548842889037724,1.52,2.11,141.0,-52.86335112,0.02658,50.0,7.57623,1.87,13.61805,78.0,17.36,3.44,0.1493249889846516,47.0,1.93,430.0,1234.93,2.18,0.0094742580141865,33.0,1090.0,0.235,125.6,5727.0,9.7886,24.44,6.127139103629647,3.0,0.323943661971831,11.0,1.0155256963849353,1429.0,12.95,0.2603022030418691,0.329
mp-775767,AgAsO3,3.693050463718917,35.1211,8.0,3.357780579417788,3.3830749097938644,1.52,2.11,141.0,-105.3464572,0.02658,50.0,7.57623,1.87,13.61805,78.0,17.36,3.44,0.8803626502446913,47.0,1.93,430.0,1234.93,2.18,1.1605815417780954,33.0,1090.0,0.235,125.6,5727.0,9.7886,24.44,5.03052803283198,3.0,0.323943661971831,11.0,1.0155256963849353,1429.0,12.95,0.136852011294023,0.329
mp-776165,AgAuO3,4.020204473361742,35.1211,8.0,3.2832045292409697,3.314026446501334,1.52,2.11,141.0,-82.27925485000002,0.02658,320.0,7.57623,1.87,13.61805,222.8,17.36,3.44,0.8661309367543234,47.0,1.93,430.0,1234.93,2.54,0.9551509621777832,79.0,1337.33,0.235,125.6,19300.0,9.22553,12.55,8.569172387263247,3.0,0.4014084507042253,11.0,0.9593911101526024,1429.0,10.21,0.6534009231673499,0.129
mp-752678,AgAuO3,3.3099241685546392,35.1211,8.0,3.305411251129795,3.330422985008329,1.52,2.11,141.0,-81.3951021,0.02658,320.0,7.57623,1.87,13.61805,222.8,17.36,3.44,0.8918473254550031,47.0,1.93,430.0,1234.93,2.54,0.7621960876444444,79.0,1337.33,0.235,125.6,19300.0,9.22553,12.55,7.963340748597582,3.0,0.4014084507042253,11.0,0.9593911101526024,1429.0,10.21,0.4104563254728461,0.129
mp-775774,AgBiO3,3.812977121171909,35.1211,8.0,3.0754026369252845,2.7709703199436246,1.52,2.11,141.0,-48.85818902,0.02658,8.0,7.57623,1.87,13.61805,91.2,17.36,3.44,0.7695164206928261,47.0,1.93,430.0,1234.93,2.02,0.8471797406590217,83.0,544.4,0.235,125.6,9780.0,7.2855,11.106,7.843226715244867,3.0,0.5352112676056339,11.0,0.8757744537631552,1429.0,21.31,0.0015955563686459,0.122
mp-23548,AgBiO3,3.699761681261193,35.1211,8.0,3.075476552388489,2.511226336190194,1.52,2.11,141.0,-48.64089214,0.02658,8.0,7.57623,1.87,13.61805,91.2,17.36,3.44,0.1638219335204365,47.0,1.93,430.0,1234.93,2.02,0.0179769697517425,83.0,544.4,0.235,125.6,9780.0,7.2855,11.106,7.836023032431419,3.0,0.5352112676056339,11.0,0.8757744537631552,1429.0,21.31,0.3243530422186329,0.122
