Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
CsIO3,4.033309574815747,35.1211,8.0,3.4525092470550085,3.3683444391900275,1.52,3.43,141.0,-21.228439,0.02658,0.449,3.893905,0.659,13.61805,295.2,17.36,3.44,0.0680978774252657,55.0,0.79,36.0,301.59,2.66,0.5662963260789745,53.0,386.85,0.242,45.5,4940.0,10.45126,7.76,4.660253080268665,1.0,0.7037037037037036,1.0,0.9930238709706734,,25.72,0.0185348995146854,0.214
CsMgBr3,4.806421455148913,21.591,35.0,3.809850260543645,3.994009247317917,1.85,3.43,324.6,-15.03194265,0.12,160.0,3.893905,0.659,11.8138,0.0,19.78,2.96,0.083602942409952,55.0,0.79,36.0,301.59,1.31,2.5024634545442466e-06,12.0,923.0,0.242,45.5,1738.0,7.646235,8.48,3.765843249343736,1.0,0.3673469387755102,1.0,1.0131679252822174,,14.0,0.0,1.023
CsMgCl3,4.580961886738943,23.8136,17.0,3.560306049251121,3.8181713613482464,1.75,3.43,349.0,-17.115412605000003,0.0089,160.0,3.893905,0.659,12.96763,0.0,17.39,3.16,0.0855621477984786,55.0,0.79,36.0,301.59,1.31,1.3272178341928756e-08,12.0,923.0,0.242,45.5,1738.0,7.646235,8.48,2.902683441716984,1.0,0.3977900552486187,1.0,1.0313138429163478,,14.0,0.0,1.023
CsPbF3,4.195163952205908,34.9708,9.0,3.674980157522368,3.3311885259530687,1.47,3.43,328.0,-21.927125955,0.0277,35.0,3.893905,0.659,17.4228,35.1,11.2,3.98,0.1660050171068173,55.0,0.79,36.0,301.59,2.33,0.0197108573509931,82.0,600.61,0.242,45.5,11340.0,7.41663,4.774,5.760497876629994,1.0,0.926070038910506,1.0,0.90423958079007,,18.26,0.0355986530207427,0.13
CsReO3,3.515515108044428,35.1211,8.0,2.8704060659180404,2.8704060659180404,1.52,3.43,141.0,-32.94121740999999,0.02658,48.0,3.893905,0.659,13.61805,14.5,17.36,3.44,2.0934566115783667e-16,55.0,0.79,36.0,301.59,1.9,2.0934566115783667e-16,75.0,3459.0,0.242,45.5,21020.0,7.83352,34.08,9.113203588539262,1.0,0.4296296296296296,1.0,1.1833963229184188,,8.86,0.0,0.137
CsSbO3,3.635306134275527,35.1211,8.0,2.968215029261557,2.968215029261557,1.52,3.43,141.0,-24.95276488,0.02658,24.0,3.893905,0.659,13.61805,103.2,17.36,3.44,0.0,55.0,0.79,36.0,301.59,2.05,0.0,51.0,903.78,0.242,45.5,6697.0,8.60839,19.79,6.794825259626738,1.0,0.4444444444444444,1.0,1.17125892473464,,18.19,0.0,0.207
CsSnS3,4.486019805156989,23.33788,16.0,3.6226117587417854,3.65470353069895,1.8,3.43,200.0,-19.943452019999995,0.205,67.0,3.893905,0.659,10.36001,107.3,15.53,2.58,0.0490399613145635,55.0,0.79,36.0,301.59,1.96,0.4388336284643441,50.0,505.08,0.242,45.5,7310.0,7.34392,7.15,3.500195569872076,1.0,0.3749999999999999,1.0,1.0396985083059116,1960.0,16.29,0.0020792929865005,0.227
CsSrBr3,5.104788320138425,21.591,35.0,4.39464884398747,4.002324604601324,1.85,3.43,324.6,-16.896982307499997,0.12,35.0,3.893905,0.659,11.8138,5.03,19.78,2.96,0.4374860581182996,55.0,0.79,36.0,301.59,0.95,0.0275706761517663,38.0,1050.0,0.242,45.5,2630.0,5.69485,7.43,3.6997819316785776,1.0,0.6020408163265306,1.0,0.8647420508778161,,33.94,0.1974591055805649,0.306
CsWO3,3.53249568001238,35.1211,8.0,2.8842706448720707,2.8842706448720707,1.52,3.43,141.0,-35.20402222,0.02658,170.0,3.893905,0.659,13.61805,78.6,17.36,3.44,0.0,55.0,0.79,36.0,301.59,2.36,0.0,74.0,3695.0,0.242,45.5,19250.0,7.86403,52.31,8.92449840725149,1.0,0.4592592592592592,1.0,1.1593679711840346,,9.47,0.0,0.132
InBO3,3.537897459836623,35.1211,8.0,2.9400862479276832,3.198103717288959,1.52,1.93,141.0,-33.7007496133333,0.02658,27.0,5.78636,1.656,13.61805,26.7,17.36,3.44,0.9871424303066916,49.0,1.78,82.0,429.75,2.04,0.8435092219657662,5.0,2349.0,0.233,28.9,2460.0,8.29802,50.2,5.239768681376158,2.0,0.2,13.0,0.9908224649959648,,4.39,0.4110009730663779,1.026
InGaO3,3.63106162830822,35.1211,8.0,3.5992668146287485,2.643705335252507,1.52,1.93,141.0,-28.38383331,0.02658,29.0,5.78636,1.656,13.61805,28.9,17.36,3.44,0.4153891582140835,49.0,1.78,82.0,429.75,1.81,1.267167593690299,31.0,302.91,0.233,28.9,5904.0,5.999301,5.585,6.348371049842657,2.0,0.4592592592592592,13.0,0.8147880169002348,,11.8,0.0,0.373
KCaBr3,4.760687525931628,21.591,35.0,4.274974204427614,3.733854658762723,1.85,2.75,324.6,-17.07937964,0.12,200.0,4.3406633,0.734,11.8138,2.37,19.78,2.96,0.4573374391358463,19.0,0.82,100.0,336.53,1.0,0.0186253987306681,20.0,1115.0,0.757,48.4,1550.0,6.11316,8.54,3.137770364308916,1.0,0.6836734693877552,1.0,0.77138921583987,,26.2,0.1924624761925853,0.647
KMgF3,3.5101925239930547,34.9708,9.0,2.866060194238394,2.866060194238394,1.47,2.75,328.0,-24.16707869,0.0277,160.0,4.3406633,0.734,17.4228,0.0,11.2,3.98,0.0,19.0,0.82,100.0,336.53,1.31,0.0,12.0,923.0,0.757,48.4,1738.0,7.646235,8.48,3.002405124410519,1.0,0.5603112840466926,1.0,1.0315647555963348,,14.0,0.0,1.023
KMgH3,3.48187888854885,,1.0,2.8429422077045667,2.8429422077045667,1.1,2.75,72.8,-13.65108557,0.1805,160.0,4.3406633,0.734,13.598443,0.0,11.42,2.2,0.0,19.0,0.82,100.0,336.53,1.31,0.0,12.0,923.0,0.757,48.4,1738.0,7.646235,8.48,1.6972485009087663,1.0,0.5538461538461538,1.0,1.0291554142022028,,14.0,0.0,1.023
KNbO3,3.4879817420507093,35.1211,8.0,3.162866598613259,2.875663140805176,1.52,2.75,141.0,-37.39370056999999,0.02658,54.0,4.3406633,0.734,13.61805,86.1,17.36,3.44,0.0788937248380693,19.0,0.82,100.0,336.53,1.6,1.1075120114612125,41.0,2750.0,0.757,48.4,8570.0,6.75885,30.0,4.460524942822571,1.0,0.474074074074074,1.0,1.0624368219838074,,10.83,0.0460159080242816,0.265
KSbO3,4.150302097901793,35.1211,8.0,3.453384467199337,3.30471224726176,1.52,2.75,141.0,-27.364688415,0.02658,24.0,4.3406633,0.734,13.61805,103.2,17.36,3.44,0.746552958177864,19.0,0.82,100.0,336.53,2.05,0.0087238848579355,51.0,903.78,0.757,48.4,6697.0,8.60839,19.79,4.304749781750495,1.0,0.4444444444444444,1.0,1.0842303978193728,,18.19,0.3967210839083221,0.207
KTaO3,3.4866949766651887,35.1211,8.0,2.846874527185004,2.846874527185004,1.52,2.75,141.0,-38.12573855,0.02658,57.0,4.3406633,0.734,13.61805,31.0,17.36,3.44,0.0,19.0,0.82,100.0,336.53,1.5,0.0,73.0,3290.0,0.757,48.4,16650.0,7.54957,36.57,6.820336940441666,1.0,0.474074074074074,1.0,1.0624368219838074,,10.85,0.0,0.14
KZnF3,3.578341692014702,34.9708,9.0,2.921703756921138,2.921703756921138,1.47,2.75,328.0,-20.29370065,0.0277,120.0,4.3406633,0.734,17.4228,0.0,11.2,3.98,0.0,19.0,0.82,100.0,336.53,1.65,0.0,30.0,692.68,0.757,48.4,7140.0,9.394199,7.068,3.8016737338158175,1.0,0.575875486381323,1.0,1.0213764617139018,,9.16,0.0,0.388
LaAlO3,3.304057586370329,35.1211,8.0,3.5043673191221134,3.448294513623481,1.52,2.43,141.0,-39.0343504716667,0.02658,235.0,5.5769,1.09,13.61805,42.5,17.36,3.44,1.0001519111189976,57.0,1.1,13.0,1193.0,1.61,1.105863147878372,13.0,933.47,0.195,48.0,2700.0,5.985768,10.71,6.374048435127,4.0,0.3962962962962963,3.0,1.016583223880925,,10.0,0.0074478367153815,0.897
LaCoN3,3.5757179944759527,29.6013,7.0,3.352581112796559,3.5290838301560306,1.55,2.43,7.0,-38.5883754275,0.02583,100.0,5.5769,1.09,14.5341,63.7,13.54,3.04,0.8002085851685942,57.0,1.1,13.0,1193.0,1.88,1.1776629142426704,27.0,1768.0,0.195,48.0,8900.0,7.88101,16.2,4.98265390233578,4.0,0.363013698630137,3.0,1.0020307150482737,,6.67,0.5109263345408294,0.421
LaCrO3,3.298780827902446,35.1211,8.0,3.192650649348973,3.047806024159016,1.52,2.43,141.0,-41.5054164625,0.02658,94.0,5.5769,1.09,13.61805,64.3,17.36,3.44,0.7760867950974663,57.0,1.1,13.0,1193.0,1.66,1.0431737865948136,24.0,2180.0,0.195,48.0,7140.0,6.76651,21.0,6.580364871844584,4.0,0.4555555555555555,3.0,0.9751956117127448,,7.23,0.0628487182749331,0.449
LaScO3,3.391348597184747,35.1211,8.0,3.3121553764733545,3.1495408944869303,1.52,2.43,141.0,-41.10151599,0.02658,16.0,5.5769,1.09,13.61805,18.1,17.36,3.44,0.8433638726681897,57.0,1.1,13.0,1193.0,1.36,1.013684903172241,21.0,1814.0,0.195,48.0,2985.0,6.56149,14.1,5.728226324978257,4.0,0.5518518518518518,3.0,0.91468228019835,,15.0,0.0576448554116429,0.568
LiAsO3,3.460230809724888,35.1211,8.0,3.2519339481274354,3.046258891706612,1.52,1.82,141.0,-28.52310609,0.02658,50.0,5.391719,0.912,13.61805,78.0,17.36,3.44,0.8937954510242856,3.0,0.98,85.0,453.69,2.18,1.140658462428806,33.0,1090.0,3.582,59.6,5727.0,9.7886,24.44,4.301490356395717,1.0,0.3407407407407407,1.0,0.8868134769577142,,12.95,0.3654717852093556,0.329
LiNbO3,3.3710315275096003,35.1211,8.0,3.2411002207515964,3.027997130982528,1.52,1.82,141.0,-38.587258115,0.02658,54.0,5.391719,0.912,13.61805,86.1,17.36,3.44,0.901741233350652,3.0,0.98,85.0,453.69,1.6,1.015747781918622,41.0,2750.0,3.582,59.6,8570.0,6.75885,30.0,4.512135402341831,1.0,0.474074074074074,1.0,0.8065991926097802,,10.83,0.3557163807239379,0.265
LiSbO3,3.4961644065054696,35.1211,8.0,3.1926834005084546,3.089451115074972,1.52,1.82,141.0,-28.6500243625,0.02658,24.0,5.391719,0.912,13.61805,103.2,17.36,3.44,0.8530985762737444,3.0,0.98,85.0,453.69,2.05,1.0794126301253166,51.0,903.78,3.582,59.6,6697.0,8.60839,19.79,4.844598657614368,1.0,0.4444444444444444,1.0,0.8231448170735706,,18.19,0.0020087221161498,0.207
LiTaO3,3.360581036880673,35.1211,8.0,3.2281480195889136,3.0258264677090385,1.52,1.82,141.0,-39.2605626516667,0.02658,57.0,5.391719,0.912,13.61805,31.0,17.36,3.44,0.9048598961042584,3.0,0.98,85.0,453.69,1.5,1.0026279661524462,73.0,3290.0,3.582,59.6,16650.0,7.54957,36.57,7.233191400356207,1.0,0.474074074074074,1.0,0.8065991926097802,,10.85,0.361931438665431,0.14
MgCO3,3.394961332275484,35.1211,8.0,2.811486332255119,3.072625550071916,1.52,1.73,141.0,-35.18296034000001,0.02658,140.0,7.646235,1.293,13.61805,153.9,17.36,3.44,0.9422511558926472,12.0,1.31,160.0,923.0,2.55,0.8299173089002521,6.0,3800.0,1.023,0.0,2267.0,11.2603,117.4,2.8989730951007755,1.0,0.1185185185185185,2.0,1.0489531058661368,,5.29,0.4045296677299577,0.709
MgSiO3,3.005706690789256,35.1211,8.0,3.431557678310463,3.2078333674695934,1.52,1.73,141.0,-33.9551852875,0.02658,150.0,7.646235,1.293,13.61805,133.6,17.36,3.44,0.9126675942641856,12.0,1.31,160.0,923.0,1.9,1.112025420218815,14.0,1687.0,1.023,0.0,2330.0,8.15168,50.21,3.975370509816493,1.0,0.2962962962962963,2.0,0.905096679918781,,12.06,0.0765455216722676,0.712
MgTiO3,3.4713798796114537,35.1211,8.0,3.2168014007997177,3.0082604268407787,1.52,1.73,141.0,-36.9249649066667,0.02658,22.0,7.646235,1.293,13.61805,7.6,17.36,3.44,0.9063139130671924,12.0,1.31,160.0,923.0,1.54,1.0106279871653252,22.0,1941.0,1.023,0.0,4507.0,6.82812,14.15,3.784496821629975,1.0,0.4481481481481481,2.0,0.8101888439170672,,10.64,0.3337837495298387,0.524
NaBiO3,3.9171581376967,35.1211,8.0,3.216158073018884,3.4362402346442726,1.52,2.27,141.0,-25.218367471666703,0.02658,8.0,5.139076,0.869,13.61805,91.2,17.36,3.44,0.9975712939608736,11.0,0.93,140.0,370.87,2.02,1.2368206279767944,83.0,544.4,1.228,52.8,9780.0,7.2855,11.106,6.21110982428489,1.0,0.5629629629629629,1.0,0.9182334504507772,,21.31,0.405122617430029,0.122
NaCdF3,3.725843741655223,34.9708,9.0,3.155205960779308,3.3260281900869457,1.47,2.27,328.0,-19.1581641333333,0.0277,97.0,5.139076,0.869,17.4228,0.0,11.2,3.98,1.0277883948315183,11.0,0.93,140.0,370.87,1.69,1.0547803263134583,48.0,594.22,1.228,52.8,8650.0,8.99382,6.21,4.31428159549477,1.0,0.7392996108949417,1.0,0.8463134853127582,,13.0,0.4726171910353078,0.231
NaCoF3,3.334345693082476,34.9708,9.0,3.3175884343952986,3.422467279708594,1.47,2.27,328.0,-23.692840365,0.0277,100.0,5.139076,0.869,17.4228,63.7,11.2,3.98,0.9372366510973452,11.0,0.93,140.0,370.87,1.88,1.190863202232305,27.0,1768.0,1.228,52.8,8900.0,7.88101,16.2,3.942153559239959,1.0,0.5797665369649806,1.0,0.9317786402335048,,6.67,0.1613684097149119,0.421
NaMgF3,3.232982140205683,34.9708,9.0,3.474343942670854,3.318361706911754,1.47,2.27,328.0,-24.035219825,0.0277,160.0,5.139076,0.869,17.4228,0.0,11.2,3.98,0.9067448640114082,11.0,0.93,140.0,370.87,1.31,1.173711946168869,12.0,923.0,1.228,52.8,1738.0,7.646235,8.48,3.2710277882102035,1.0,0.5603112840466926,1.0,0.9433968277675884,,14.0,0.1308514161734402,1.023
NaMnF3,3.3241472728738906,34.9708,9.0,3.2917719454117136,3.112538073558358,1.47,2.27,328.0,-27.4931740175,0.0277,7.8,5.139076,0.869,17.4228,0.0,11.2,3.98,0.8876872156204257,11.0,0.93,140.0,370.87,1.55,0.937897389245102,25.0,1519.0,1.228,52.8,7470.0,7.43402,12.91,3.451126118487354,1.0,0.6459143968871596,1.0,0.8943312717134821,,7.35,0.0610944747596873,0.479
NaNbO3,3.433826515288835,35.1211,8.0,3.332376084426129,3.1618334627972104,1.52,2.27,141.0,-37.7408969283333,0.02658,54.0,5.139076,0.869,13.61805,86.1,17.36,3.44,0.8520579337853992,11.0,0.93,140.0,370.87,1.6,1.1101369296891566,41.0,2750.0,1.228,52.8,8570.0,6.75885,30.0,4.457588845311888,1.0,0.474074074074074,1.0,0.9736043117844924,,10.83,0.1273979043699307,0.265
NaSbO3,3.803119416433269,35.1211,8.0,3.141929357245988,3.363844917551716,1.52,2.27,141.0,-27.8220007833333,0.02658,24.0,5.139076,0.869,13.61805,103.2,17.36,3.44,0.947640515109058,11.0,0.93,140.0,370.87,2.05,1.3019600318209936,51.0,903.78,1.228,52.8,6697.0,8.60839,19.79,4.7758114272953165,1.0,0.4444444444444444,1.0,0.993575682282636,,18.19,0.3955082371558348,0.207
RbAuBr3,4.696130027432551,21.591,35.0,4.263065748726646,3.7438106660223625,1.85,3.03,324.6,-12.808423090000002,0.12,320.0,4.177128,0.706,11.8138,222.8,19.78,2.96,0.0938696516281955,37.0,0.82,58.0,312.46,2.54,0.4535217198737396,79.0,1337.33,0.363,46.9,19300.0,9.22553,12.55,4.746234464836805,1.0,0.5663265306122449,1.0,0.8476068256568385,,10.21,0.170382954072121,0.129
RbAuI3,4.984314841598948,19.1313,53.0,4.355964045301409,3.9678453245583154,1.98,3.03,295.2,-11.55174763,0.449,320.0,4.177128,0.706,10.45126,222.8,25.72,2.66,0.1219658428181563,37.0,0.82,58.0,312.46,2.54,0.4725487065070124,79.0,1337.33,0.363,46.9,19300.0,9.22553,12.55,4.976686586587941,1.0,0.5045454545454545,1.0,0.8374195112541588,4940.0,10.21,0.249126774456435,0.129
RbBiO3,3.761605747072622,35.1211,8.0,3.0713382312828803,3.0713382312828803,1.52,3.03,141.0,-23.99254258,0.02658,8.0,4.177128,0.706,13.61805,91.2,17.36,3.44,0.0,37.0,0.82,58.0,312.46,2.02,0.0,83.0,544.4,0.363,46.9,9780.0,7.2855,11.106,6.93926977406871,1.0,0.662962962962963,1.0,0.966956711912116,,21.31,0.0,0.122
