Name,X_EA,mean_A2B,X_Z,X_Rvdw,X_IEII,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,B_Hf,X_G,A_EA,std_A2X,A_ChiP,B_MP,std_B2X,OF,A_MP,B_Z,X_Kappa,A_Kappa,B_Kappa,B_Ra,A_Z,B_Rho,X_MV,A_CvM,A_G,B_EA,B_CvM,TF,std_X2X,A_B,std_A2B,B_ChiP,X_IEI,B_MV,B_IEI
CsIO3,141.0,4.033309574815747,8.0,1.52,35.1211,3.4525092470550085,3.43,3.3683444391900275,3.893905,-21.228439,0.659,7.76,16.0,45.5,0.0680978774252657,0.79,386.85,0.5662963260789745,0.7037037037037036,301.59,53.0,0.02658,36.0,0.449,1.4,55.0,4940.0,17.36,0.242,1.0,295.2,0.214,0.9930238709706734,0.732340487260683,1.0,0.0185348995146854,2.66,13.61805,25.72,10.45126
CsMgBr3,324.6,4.806421455148913,35.0,1.85,21.591,3.809850260543645,3.43,3.994009247317917,3.893905,-15.03194265,0.659,8.48,17.0,45.5,0.083602942409952,0.79,923.0,2.5024634545442466e-06,0.3673469387755102,301.59,12.0,0.12,36.0,160.0,1.5,55.0,1738.0,19.78,0.242,1.0,0.0,1.023,1.0131679252822174,0.12342452209855,1.0,0.0,1.31,11.8138,14.0,7.646235
CsMgCl3,349.0,4.580961886738943,17.0,1.75,23.8136,3.560306049251121,3.43,3.8181713613482464,3.893905,-17.115412605000003,0.659,8.48,17.0,45.5,0.0855621477984786,0.79,923.0,1.3272178341928756e-08,0.3977900552486187,301.59,12.0,0.0089,36.0,160.0,1.5,55.0,1738.0,17.39,0.242,1.0,0.0,1.023,1.0313138429163478,0.1412615091004032,1.0,0.0,1.31,12.96763,14.0,7.646235
CsPbF3,328.0,4.195163952205908,9.0,1.47,34.9708,3.674980157522368,3.43,3.3311885259530687,3.893905,-21.927125955,0.659,4.774,17.0,45.5,0.1660050171068173,0.79,600.61,0.0197108573509931,0.926070038910506,301.59,82.0,0.0277,36.0,35.0,1.8,55.0,11340.0,11.2,0.242,1.0,35.1,0.13,0.90423958079007,0.4278572510141344,1.0,0.0355986530207427,2.33,17.4228,18.26,7.41663
CsReO3,141.0,3.515515108044428,8.0,1.52,35.1211,2.8704060659180404,3.43,2.8704060659180404,3.893905,-32.94121740999999,0.659,34.08,16.0,45.5,2.0934566115783667e-16,0.79,3459.0,2.0934566115783667e-16,0.4296296296296296,301.59,75.0,0.02658,36.0,48.0,1.35,55.0,21020.0,17.36,0.242,1.0,14.5,0.137,1.1833963229184188,2.0934566115783667e-16,1.0,0.0,1.9,13.61805,8.86,7.83352
CsSbO3,141.0,3.635306134275527,8.0,1.52,35.1211,2.968215029261557,3.43,2.968215029261557,3.893905,-24.95276488,0.659,19.79,16.0,45.5,0.0,0.79,903.78,0.0,0.4444444444444444,301.59,51.0,0.02658,36.0,24.0,1.45,55.0,6697.0,17.36,0.242,1.0,103.2,0.207,1.17125892473464,0.0,1.0,0.0,2.05,13.61805,18.19,8.60839
CsSnS3,200.0,4.486019805156989,16.0,1.8,23.33788,3.6226117587417854,3.43,3.65470353069895,3.893905,-19.943452019999995,0.659,7.15,16.0,45.5,0.0490399613145635,0.79,505.08,0.4388336284643441,0.3749999999999999,301.59,50.0,0.205,36.0,67.0,1.45,55.0,7310.0,15.53,0.242,1.0,107.3,0.227,1.0396985083059116,0.508901621741368,1.0,0.0020792929865005,1.96,10.36001,16.29,7.34392
CsSrBr3,324.6,5.104788320138425,35.0,1.85,21.591,4.39464884398747,3.43,4.002324604601324,3.893905,-16.896982307499997,0.659,7.43,17.0,45.5,0.4374860581182996,0.79,1050.0,0.0275706761517663,0.6020408163265306,301.59,38.0,0.12,36.0,35.0,2.0,55.0,2630.0,19.78,0.242,1.0,5.03,0.306,0.8647420508778161,0.1539594740863654,1.0,0.1974591055805649,0.95,11.8138,33.94,5.69485
CsWO3,141.0,3.53249568001238,8.0,1.52,35.1211,2.8842706448720707,3.43,2.8842706448720707,3.893905,-35.20402222,0.659,52.31,16.0,45.5,0.0,0.79,3695.0,0.0,0.4592592592592592,301.59,74.0,0.02658,36.0,170.0,1.35,55.0,19250.0,17.36,0.242,1.0,78.6,0.132,1.1593679711840346,0.0,1.0,0.0,2.36,13.61805,9.47,7.86403
InBO3,141.0,3.537897459836623,8.0,1.52,35.1211,2.9400862479276832,1.93,3.198103717288959,5.78636,-33.7007496133333,1.656,50.2,16.0,28.9,0.9871424303066916,1.78,2349.0,0.8435092219657662,0.2,429.75,5.0,0.02658,82.0,27.0,0.85,49.0,2460.0,17.36,0.233,13.0,26.7,1.026,0.9908224649959648,0.318474429925951,2.0,0.4110009730663779,2.04,13.61805,4.39,8.29802
