material_id,Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
mp-753176,AgCO3,141.0,1.52,8.0,3.229746821385058,16.0,35.1211,2.8172210128117188,2.11,1.87,7.57623,6.0,117.4,0.7,2.3475192644867744,0.996913733726939,0.1126760563380281,125.6,6.421287067937503e-08,2267.0,-30.617774795000003,1.93,0.709,3800.0,76.0,1.0561848124052229,1.7,1234.93,0.4811933913129166,430.0,17.36
mp-891880,AgGeO3,141.0,1.52,8.0,3.780925988002184,16.0,35.1211,3.5013044456445748,2.11,1.87,7.57623,32.0,36.94,1.25,3.512804826654479,1.1738382634874676,0.3732394366197183,125.6,0.8294312166004134,5323.0,-26.4954877875,1.93,0.32,1211.4,120.0,0.8557805146667958,2.11,1234.93,0.659882955768461,430.0,17.36
mp-891854,AgGeO3,141.0,1.52,8.0,3.505398106041948,16.0,35.1211,3.281111459012322,2.11,1.87,7.57623,32.0,36.94,1.25,3.1613772067066943,1.2412778539583724,0.3732394366197183,125.6,0.8666330015559642,5323.0,-26.503460205,1.93,0.32,1211.4,120.0,0.8557805146667958,2.11,1234.93,0.5725683120389161,430.0,17.36
mp-779706,AgGeO3,141.0,1.52,8.0,3.769441029571381,16.0,35.1211,3.496181993920866,2.11,1.87,7.57623,32.0,36.94,1.25,3.507396128261009,1.169550653694612,0.3732394366197183,125.6,0.8288283199966823,5323.0,-26.4962244825,1.93,0.32,1211.4,120.0,0.8557805146667958,2.11,1234.93,0.6649080379896908,430.0,17.36
mp-759939,AgGeO3,141.0,1.52,8.0,3.451353766759989,16.0,35.1211,3.043001440046536,2.11,1.87,7.57623,32.0,36.94,1.25,2.6821245011447785,0.930104798187528,0.3732394366197183,125.6,0.8156405032452192,5323.0,-26.396109755,1.93,0.32,1211.4,120.0,0.8557805146667958,2.11,1234.93,0.6032100183250646,430.0,17.36
mp-779664,AgGeO3,141.0,1.52,8.0,3.510680679307506,16.0,35.1211,3.2686226334188024,2.11,1.87,7.57623,32.0,36.94,1.25,3.178975193579205,1.2180826476557458,0.3732394366197183,125.6,0.8767941123219606,5323.0,-26.517992325,1.93,0.32,1211.4,120.0,0.8557805146667958,2.11,1234.93,0.5498387714612747,430.0,17.36
mp-27384,AgIO3,141.0,1.52,8.0,4.17352681132616,16.0,35.1211,3.745947675916006,2.11,1.87,7.57623,53.0,7.76,1.4,3.366774081986236,0.9493825964754972,0.6690140845070423,125.6,0.8787506751305134,4940.0,-20.316273183750003,1.93,0.214,386.85,139.0,0.8055646874277124,1.98,1234.93,0.7671328205931794,430.0,17.36
mp-1202188,AgIO3,141.0,1.52,8.0,4.237162320109843,16.0,35.1211,3.657630698657776,2.11,1.87,7.57623,53.0,7.76,1.4,3.301176166700916,1.0583567307045367,0.6690140845070423,125.6,0.8213202136199986,4940.0,-20.26198471,1.93,0.214,386.85,139.0,0.8055646874277124,1.98,1234.93,0.7166279993779537,430.0,17.36
mp-849271,AgIO3,141.0,1.52,8.0,3.706840726422503,16.0,35.1211,3.404694779953972,2.11,1.87,7.57623,53.0,7.76,1.4,3.3034844849686973,0.9269586797554764,0.6690140845070423,125.6,0.7999700874336815,4940.0,-20.1803822375,1.93,0.214,386.85,139.0,0.8055646874277124,1.98,1234.93,0.4557875619071668,430.0,17.36
mp-1178556,AgPbO3,141.0,1.52,8.0,3.6861297586803072,16.0,35.1211,3.0689208957701566,2.11,1.87,7.57623,82.0,4.774,1.8,2.333869559618328,0.0507457209400384,0.545774647887324,125.6,0.0544199986236998,11340.0,-23.170473485,1.93,0.13,600.61,146.0,0.7602605938953313,2.02,1234.93,0.1254827416262927,430.0,17.36
mp-776166,AgPdO3,141.0,1.52,8.0,3.2363509827575183,16.0,35.1211,3.34089457972146,2.11,1.87,7.57623,46.0,16.74,1.4,3.192100097543137,0.7588635158704159,0.5352112676056339,125.6,0.7847374298587839,12023.0,-21.4340154825,1.93,0.244,1828.05,139.0,0.7038631720985358,2.1,1234.93,0.8216428427188701,430.0,17.36
mp-18702,AgPO3,141.0,1.52,8.0,4.055180271068168,16.0,35.1211,3.5436434922434863,2.11,1.87,7.57623,15.0,18.54,1.0,3.617749222732954,1.14089932402672,0.2676056338028169,125.6,0.8355657189353082,1823.0,-30.41283584875,1.93,0.769,317.3,107.0,1.0606601717798214,1.8,1234.93,0.7812075353557858,430.0,17.36
mp-775762,AgPO3,141.0,1.52,8.0,3.6664617218180497,16.0,35.1211,3.1741442431722056,2.11,1.87,7.57623,15.0,18.54,1.0,3.3200680837955434,1.3055047654805287,0.2676056338028169,125.6,0.758039599892597,1823.0,-30.1862055575,1.93,0.769,317.3,107.0,1.0606601717798214,1.8,1234.93,0.7476627116879981,430.0,17.36
