Name,A_site,B_site,X_site
CsPrO3,Cs,Pr,O
CsPS3,Cs,P,S
CsPtBr3,Cs,Pt,Br
CsPuO3,Cs,Pu,O
CsRbO3,Cs,Rb,O
CsRuO3,Cs,Ru,O
CsSbO3,Cs,Sb,O
CsScBr3,Cs,Sc,Br
CsScCl3,Cs,Sc,Cl
CsScI3,Cs,Sc,I
CsSeBr3,Cs,Se,Br
CsSiI3,Cs,Si,I
CsSmBr3,Cs,Sm,Br
CsSmCl3,Cs,Sm,Cl
CsSmI3,Cs,Sm,I
CsSmO3,Cs,Sm,O
CsSnBr3,Cs,Sn,Br
CsSnCl3,Cs,Sn,Cl
CsSnF3,Cs,Sn,F
CsSnI3,Cs,Sn,I
CsSnO3,Cs,Sn,O
CsSnS3,Cs,Sn,S
CsSnSe3,Cs,Sn,Se
CsSO3,Cs,S,O
CsSrBr3,Cs,Sr,Br
CsSrCl3,Cs,Sr,Cl
CsSrF3,Cs,Sr,F
CsSrI3,Cs,Sr,I
CsSrO3,Cs,Sr,O
CsTaO3,Cs,Ta,O
CsTaS3,Cs,Ta,S
CsTaSe3,Cs,Ta,Se
CsTbO3,Cs,Tb,O
CsThO3,Cs,Th,O
CsTiBr3,Cs,Ti,Br
CsTiCl3,Cs,Ti,Cl
CsTiI3,Cs,Ti,I
CsTiO3,Cs,Ti,O
CsTlBr3,Cs,Tl,Br
CsTlCl3,Cs,Tl,Cl
CsTlF3,Cs,Tl,F
CsTlI3,Cs,Tl,I
CsTlO3,Cs,Tl,O
CsTmBr3,Cs,Tm,Br
CsTmCl3,Cs,Tm,Cl
CsTmH3,Cs,Tm,H
CsTmI3,Cs,Tm,I
CsUBr3,Cs,U,Br
CsUO3,Cs,U,O
CsVBr3,Cs,V,Br
CsVCl3,Cs,V,Cl
CsVI3,Cs,V,I
CsVO3,Cs,V,O
CsYbBr3,Cs,Yb,Br
CsYbCl3,Cs,Yb,Cl
CsYbF3,Cs,Yb,F
CsYbH3,Cs,Yb,H
CsYbI3,Cs,Yb,I
CsYbO3,Cs,Yb,O
CuAgF3,Cu,Ag,F
CuAsO3,Cu,As,O
CuBiO3,Cu,Bi,O
CuBO3,Cu,B,O
CuCO3,Cu,C,O
CuGeI3,Cu,Ge,I
CuGeO3,Cu,Ge,O
CuPbBr3,Cu,Pb,Br
CuPbO3,Cu,Pb,O
CuPdO3,Cu,Pd,O
CuPO3,Cu,P,O
CuPS3,Cu,P,S
CuSeO3,Cu,Se,O
CuSiO3,Cu,Si,O
DyAlO3,Dy,Al,O
DyBiO3,Dy,Bi,O
DyBO3,Dy,B,O
DyCoO3,Dy,Co,O
DyCrO3,Dy,Cr,O
DyCrS3,Dy,Cr,S
DyCrSe3,Dy,Cr,Se
DyCuO3,Dy,Cu,O
DyErO3,Dy,Er,O
DyFeO3,Dy,Fe,O
DyGaO3,Dy,Ga,O
DyGaSe3,Dy,Ga,Se
DyHoO3,Dy,Ho,O
DyInO3,Dy,In,O
DyLuO3,Dy,Lu,O
DyMgS3,Dy,Mg,S
DyMgSe3,Dy,Mg,Se
DyMnO3,Dy,Mn,O
DyNiO3,Dy,Ni,O
DyPaO3,Dy,Pa,O
DyRhO3,Dy,Rh,O
DySbO3,Dy,Sb,O
DyScO3,Dy,Sc,O
DyScS3,Dy,Sc,S
DySeO3,Dy,Se,O
DySnO3,Dy,Sn,O
DyTiO3,Dy,Ti,O
DyTmO3,Dy,Tm,O
DyVO3,Dy,V,O
DyYO3,Dy,Y,O
ErAlO3,Er,Al,O
ErBeO3,Er,Be,O
ErBiO3,Er,Bi,O
ErBO3,Er,B,O
ErCoO3,Er,Co,O
ErCrO3,Er,Cr,O
ErCuO3,Er,Cu,O
ErFeO3,Er,Fe,O
ErGaO3,Er,Ga,O
ErInO3,Er,In,O
ErIrO3,Er,Ir,O
ErLuO3,Er,Lu,O
ErMgS3,Er,Mg,S
ErMgSe3,Er,Mg,Se
ErMnO3,Er,Mn,O
ErNiO3,Er,Ni,O
ErRhO3,Er,Rh,O
ErScO3,Er,Sc,O
ErTaO3,Er,Ta,O
ErTiO3,Er,Ti,O
ErTlO3,Er,Tl,O
ErVO3,Er,V,O
ErZnO3,Er,Zn,O
EuAgO3,Eu,Ag,O
EuAlO3,Eu,Al,O
EuAsO3,Eu,As,O
EuAuO3,Eu,Au,O
EuBeO3,Eu,Be,O
EuBO3,Eu,B,O
EuCdO3,Eu,Cd,O
EuCO3,Eu,C,O
