Name,A_site,B_site,X_site
UReO3,U,Re,O
URhS3,U,Rh,S
URuS3,U,Ru,S
USiO3,U,Si,O
UTcO3,U,Tc,O
UTiO3,U,Ti,O
UTlO3,U,Tl,O
UVS3,U,V,S
UVSe3,U,V,Se
VAgO3,V,Ag,O
VBiO3,V,Bi,O
VBO3,V,B,O
VCdO3,V,Cd,O
VCoO3,V,Co,O
VCrO3,V,Cr,O
VCuO3,V,Cu,O
VGaO3,V,Ga,O
VGeO3,V,Ge,O
VIrO3,V,Ir,O
VMoN3,V,Mo,N
VNiO3,V,Ni,O
VOsO3,V,Os,O
VPbO3,V,Pb,O
VPS3,V,P,S
VPtO3,V,Pt,O
VSiO3,V,Si,O
VSnO3,V,Sn,O
VWN3,V,W,N
VZnO3,V,Zn,O
YAgO3,Y,Ag,O
YAlO3,Y,Al,O
YbAlO3,Yb,Al,O
YbAuO3,Yb,Au,O
YbBeO3,Yb,Be,O
YbBiO3,Yb,Bi,O
YbBO3,Yb,B,O
YbCdO3,Yb,Cd,O
YbCeO3,Yb,Ce,O
YbCeS3,Yb,Ce,S
YbCeSe3,Yb,Ce,Se
YbCO3,Yb,C,O
YbCoO3,Yb,Co,O
YbCrO3,Yb,Cr,O
YbCuO3,Yb,Cu,O
YbDyS3,Yb,Dy,S
YbEuO3,Yb,Eu,O
YbFeO3,Yb,Fe,O
YbGaO3,Yb,Ga,O
YbGdS3,Yb,Gd,S
YbGeO3,Yb,Ge,O
YbPdH3,Yb,Pd,H
YbHfO3,Yb,Hf,O
YbInBr3,Yb,In,Br
YbInO3,Yb,In,O
YBiO3,Y,Bi,O
YbMgO3,Yb,Mg,O
YbMgS3,Yb,Mg,S
YbMgSe3,Yb,Mg,Se
YbMnO3,Yb,Mn,O
YbNbO3,Yb,Nb,O
YbNdO3,Yb,Nd,O
YbNdS3,Yb,Nd,S
YbNdSe3,Yb,Nd,Se
YbNiH3,Yb,Ni,H
YbNiO3,Yb,Ni,O
YBO3,Y,B,O
YbPdO3,Yb,Pd,O
YbPrO3,Yb,Pr,O
YbPrS3,Yb,Pr,S
YbPrSe3,Yb,Pr,Se
YbPtO3,Yb,Pt,O
YbPuO3,Yb,Pu,O
YbReO3,Yb,Re,O
YbRhO3,Yb,Rh,O
YbScO3,Yb,Sc,O
YbSiO3,Yb,Si,O
YbSmO3,Yb,Sm,O
YbSmSe3,Yb,Sm,Se
YbSnO3,Yb,Sn,O
YbTaO3,Yb,Ta,O
YbTcO3,Yb,Tc,O
YbTiO3,Yb,Ti,O
YbTlBr3,Yb,Tl,Br
YbTmO3,Yb,Tm,O
YbVO3,Yb,V,O
YbWO3,Yb,W,O
YbZnO3,Yb,Zn,O
YCoO3,Y,Co,O
YCrO3,Y,Cr,O
YCuO3,Y,Cu,O
YErO3,Y,Er,O
YFeO3,Y,Fe,O
YGaO3,Y,Ga,O
YHoO3,Y,Ho,O
YInO3,Y,In,O
YLuO3,Y,Lu,O
YMgS3,Y,Mg,S
YMgSe3,Y,Mg,Se
YMnO3,Y,Mn,O
YMoN3,Y,Mo,N
YMoO3,Y,Mo,O
YNiO3,Y,Ni,O
YOsO3,Y,Os,O
YReN3,Y,Re,N
YRhO3,Y,Rh,O
YSbO3,Y,Sb,O
YScO3,Y,Sc,O
YScS3,Y,Sc,S
YSeO3,Y,Se,O
YSiO3,Y,Si,O
YSnO3,Y,Sn,O
YTcN3,Y,Tc,N
YTiO3,Y,Ti,O
YTmO3,Y,Tm,O
YVO3,Y,V,O
YWN3,Y,W,N
YWO3,Y,W,O
YZrO3,Y,Zr,O
ZnAgF3,Zn,Ag,F
ZnAuO3,Zn,Au,O
ZnBiO3,Zn,Bi,O
ZnBO3,Zn,B,O
ZnCO3,Zn,C,O
ZnCoO3,Zn,Co,O
ZnCrO3,Zn,Cr,O
ZnCuO3,Zn,Cu,O
ZnFeO3,Zn,Fe,O
ZnGaO3,Zn,Ga,O
ZnGeO3,Zn,Ge,O
ZnIrO3,Zn,Ir,O
ZnMoO3,Zn,Mo,O
ZnNiO3,Zn,Ni,O
ZnOsO3,Zn,Os,O
ZnPbO3,Zn,Pb,O
ZnPS3,Zn,P,S
ZnRhO3,Zn,Rh,O
ZnSbO3,Zn,Sb,O
ZnSeO3,Zn,Se,O
ZnSiO3,Zn,Si,O
ZnSnO3,Zn,Sn,O
ZnSnS3,Zn,Sn,S
ZnWO3,Zn,W,O
ZrAlO3,Zr,Al,O
ZrBeO3,Zr,Be,O
ZrBO3,Zr,B,O
ZrCdO3,Zr,Cd,O
ZrCoH3,Zr,Co,H
ZrCoO3,Zr,Co,O
ZrCrO3,Zr,Cr,O
ZrCuF3,Zr,Cu,F
ZrMnO3,Zr,Mn,O
ZrMoN3,Zr,Mo,N
ZrNiH3,Zr,Ni,H
ZrNiO3,Zr,Ni,O
ZrOsO3,Zr,Os,O
ZrPbO3,Zr,Pb,O
ZrPbS3,Zr,Pb,S
ZrSiO3,Zr,Si,O
ZrSnS3,Zr,Sn,S
ZrTiO3,Zr,Ti,O
ZrTlO3,Zr,Tl,O
ZrWN3,Zr,W,N
ZrZnO3,Zr,Zn,O
