Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
NpBO3,Np,B,O,,,3.0,0.27,1.42,-2
PaBO3,Pa,B,O,,,3.0,0.27,1.42,-2
PrBO3,Pr,B,O,,,3.0,0.27,1.42,-2
PuBO3,Pu,B,O,,,3.0,0.27,1.42,-2
RbBO3,Rb,B,O,1.0,1.72,3.0,0.27,1.42,-2
ScBO3,Sc,B,O,3.0,0.87,3.0,0.27,1.42,-2
SiBO3,Si,B,O,4.0,0.4,3.0,0.27,1.42,-2
SmBO3,Sm,B,O,,,3.0,0.27,1.42,-2
SnBO3,Sn,B,O,4.0,0.81,3.0,0.27,1.42,-2
SrBO3,Sr,B,O,2.0,1.44,3.0,0.27,1.42,-2
TbBO3,Tb,B,O,,,3.0,0.27,1.42,-2
ThBO3,Th,B,O,4.0,1.21,3.0,0.27,1.42,-2
TiBO3,Ti,B,O,,,3.0,0.27,1.42,-2
TlBO3,Tl,B,O,,,3.0,0.27,1.42,-2
TmBO3,Tm,B,O,,,3.0,0.27,1.42,-2
UBO3,U,B,O,,,3.0,0.27,1.42,-2
VBO3,V,B,O,,,3.0,0.27,1.42,-2
YBO3,Y,B,O,3.0,1.075,3.0,0.27,1.42,-2
YbBO3,Yb,B,O,,,3.0,0.27,1.42,-2
ZnBO3,Zn,B,O,2.0,0.9,3.0,0.27,1.42,-2
ZrBO3,Zr,B,O,4.0,0.89,3.0,0.27,1.42,-2
AcCrO3,Ac,Cr,O,3.0,1.12,,,1.42,-2
AlCrO3,Al,Cr,O,3.0,0.535,,,1.42,-2
BaCrO3,Ba,Cr,O,2.0,1.61,,,1.42,-2
CaCrO3,Ca,Cr,O,2.0,1.34,,,1.42,-2
CeCrO3,Ce,Cr,O,,,,,1.42,-2
DyCrO3,Dy,Cr,O,,,,,1.42,-2
ErCrO3,Er,Cr,O,3.0,1.062,,,1.42,-2
EuCrO3,Eu,Cr,O,,,,,1.42,-2
GdCrO3,Gd,Cr,O,3.0,1.107,,,1.42,-2
HfCrO3,Hf,Cr,O,4.0,0.83,,,1.42,-2
