Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
HoCrO3,Ho,Cr,O,3.0,1.12,,,1.42,-2
KCrO3,K,Cr,O,1.0,1.64,,,1.42,-2
LaCrO3,La,Cr,O,3.0,1.36,,,1.42,-2
LiCrO3,Li,Cr,O,1.0,0.92,,,1.42,-2
LuCrO3,Lu,Cr,O,3.0,1.032,,,1.42,-2
MgCrO3,Mg,Cr,O,2.0,0.89,,,1.42,-2
NaCrO3,Na,Cr,O,1.0,1.39,,,1.42,-2
NdCrO3,Nd,Cr,O,,,,,1.42,-2
PrCrO3,Pr,Cr,O,,,,,1.42,-2
PuCrO3,Pu,Cr,O,,,,,1.42,-2
RbCrO3,Rb,Cr,O,1.0,1.72,,,1.42,-2
ScCrO3,Sc,Cr,O,3.0,0.87,,,1.42,-2
SmCrO3,Sm,Cr,O,,,,,1.42,-2
SrCrO3,Sr,Cr,O,2.0,1.44,,,1.42,-2
TbCrO3,Tb,Cr,O,,,,,1.42,-2
TiCrO3,Ti,Cr,O,,,,,1.42,-2
TlCrO3,Tl,Cr,O,,,,,1.42,-2
TmCrO3,Tm,Cr,O,,,,,1.42,-2
VCrO3,V,Cr,O,,,,,1.42,-2
YCrO3,Y,Cr,O,3.0,1.075,,,1.42,-2
YbCrO3,Yb,Cr,O,,,,,1.42,-2
ZnCrO3,Zn,Cr,O,2.0,0.9,,,1.42,-2
ZrCrO3,Zr,Cr,O,4.0,0.89,,,1.42,-2
AcCuO3,Ac,Cu,O,3.0,1.12,,,1.42,-2
AlCuO3,Al,Cu,O,3.0,0.535,,,1.42,-2
BaCuO3,Ba,Cu,O,2.0,1.61,,,1.42,-2
BeCuO3,Be,Cu,O,2.0,0.45,,,1.42,-2
CaCuO3,Ca,Cu,O,2.0,1.34,,,1.42,-2
CeCuO3,Ce,Cu,O,,,,,1.42,-2
CrCuO3,Cr,Cu,O,,,,,1.42,-2
DyCuO3,Dy,Cu,O,,,,,1.42,-2
ErCuO3,Er,Cu,O,3.0,1.062,,,1.42,-2
EuCuO3,Eu,Cu,O,,,,,1.42,-2
GdCuO3,Gd,Cu,O,3.0,1.107,,,1.42,-2
HoCuO3,Ho,Cu,O,3.0,1.12,,,1.42,-2
InCuO3,In,Cu,O,3.0,0.92,,,1.42,-2
LaCuO3,La,Cu,O,3.0,1.36,,,1.42,-2
MgCuO3,Mg,Cu,O,2.0,0.89,,,1.42,-2
MnCuO3,Mn,Cu,O,,,,,1.42,-2
NbCuO3,Nb,Cu,O,,,,,1.42,-2
NdCuO3,Nd,Cu,O,,,,,1.42,-2
PrCuO3,Pr,Cu,O,,,,,1.42,-2
PuCuO3,Pu,Cu,O,,,,,1.42,-2
RbCuO3,Rb,Cu,O,1.0,1.72,,,1.42,-2
ScCuO3,Sc,Cu,O,3.0,0.87,,,1.42,-2
SmCuO3,Sm,Cu,O,,,,,1.42,-2
SrCuO3,Sr,Cu,O,2.0,1.44,,,1.42,-2
TaCuO3,Ta,Cu,O,,,,,1.42,-2
TbCuO3,Tb,Cu,O,,,,,1.42,-2
ThCuO3,Th,Cu,O,4.0,1.21,,,1.42,-2
TiCuO3,Ti,Cu,O,,,,,1.42,-2
TlCuO3,Tl,Cu,O,,,,,1.42,-2
VCuO3,V,Cu,O,,,,,1.42,-2
YCuO3,Y,Cu,O,3.0,1.075,,,1.42,-2
YbCuO3,Yb,Cu,O,,,,,1.42,-2
